sequential,sequential_v0.log,20417,26655,39950.0,0.426,1.31
sequential,sequential_v1.log,20384,26653,39947.1,0.421,1.31
sequential,sequential_v2.log,20369,26656,39951.4,0.420,1.31
sequential,sequential_v3.log,20391,26653,39947.1,0.422,1.31
parallel,parallel_v0.log,21158,27449,39985.7,0.461,1.30
parallel,parallel_v1.log,21152,27449,39985.7,0.458,1.30
parallel,parallel_v2.log,21153,27449,39985.7,0.464,1.30
parallel,parallel_v3.log,21179,27449,39985.7,0.458,1.30
concatenated,concatenated_v0.log,22710,27034,39961.4,0.436,1.19
concatenated,concatenated_v1.log,22732,27033,39960.0,0.433,1.19
concatenated,concatenated_v2.log,22699,27034,39961.4,0.436,1.19
concatenated,concatenated_v3.log,22701,27034,39961.4,0.427,1.19
integrated,integrated_v0.log,3957,15379,39948.5,0.854,3.89
integrated,integrated_v1.log,3957,15379,39942.8,0.846,3.89
integrated,integrated_v2.log,3955,15379,39937.1,0.838,3.89
integrated,integrated_v3.log,3958,15379,39942.8,0.822,3.89
sequential,sequential_v0.log,21888,26842,39908.6,0.422,1.23
sequential,sequential_v1.log,21891,26840,39905.7,0.426,1.23
sequential,sequential_v2.log,21901,26842,39908.6,0.421,1.23
sequential,sequential_v3.log,21911,26840,39905.7,0.422,1.22
parallel,parallel_v0.log,22850,27304,39961.4,0.478,1.19
parallel,parallel_v1.log,22843,27301,39962.8,0.463,1.20
parallel,parallel_v2.log,22847,27304,39961.4,0.473,1.20
parallel,parallel_v3.log,22849,27304,39961.4,0.467,1.19
concatenated,concatenated_v0.log,22656,27321,39931.4,0.441,1.21
concatenated,concatenated_v1.log,22672,27321,39931.4,0.440,1.21
concatenated,concatenated_v2.log,22690,27320,39930.0,0.435,1.20
concatenated,concatenated_v3.log,22693,27321,39931.4,0.441,1.20
integrated,integrated_v0.log,3559,14034,39904.2,0.839,3.94
integrated,integrated_v1.log,3547,14041,39914.3,0.848,3.96
integrated,integrated_v2.log,3554,14041,39920.0,0.839,3.95
integrated,integrated_v3.log,3555,14041,39914.3,0.850,3.95
