batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta,cgraph_cross_block_aborts,cgraph_cross_block_cascade,graph_cross_block_aborts,graph_cross_block_cascade,integ_cross_block_aborts,integ_cross_block_cascade,par_fallbacks,concat_fallbacks,cgraph_fallbacks,graph_fallbacks,integ_fallbacks
0,10,1680,8,10,0.056713,29622.76,0.027282,61578.10,0.023658,71010.88,0.025089,66960.38,0.030931,54314.90,0.025808,65095.50,0.046155,36399.41,0.058384,0.012240,0.027123,0.025808,0.123555,0.023497,2,187395,240355,1018457,985,0,0,0,1420,0,0,0,591,0,0,0,360,0,0,0,441,0,0,0,3,0,0,0,14847860463517960732,11645696201754415884,11645696201754415884,8679415463362393917,13282277428467612364,15228092644666780870,0,0,0,0,0,0,0,0,0,0,0
1,10,1410,8,10,0.064475,21868.96,0.037548,37551.78,0.033310,42329.24,0.037567,37532.68,0.042584,33111.35,0.032847,42926.31,0.048890,28840.32,0.062893,0.011164,0.025746,0.032847,0.132650,0.015113,4,169199,177889,796430,1072,0,0,0,1769,0,0,0,740,0,0,0,294,0,0,0,592,0,0,0,25,0,0,0,4593723064334478954,12366089007859657291,12366089007859657291,325931631257035883,13794152613437243603,12914636091217148311,0,0,0,0,0,0,0,0,0,0,0
2,10,1253,8,10,0.059569,21034.46,0.034820,35984.72,0.022910,54692.08,0.024846,50430.63,0.034939,35862.86,0.027433,45675.24,0.041460,30221.63,0.061059,0.011245,0.021605,0.027433,0.121342,0.012251,2,166225,171390,853125,594,0,0,0,949,0,0,0,533,0,0,0,310,0,0,0,392,0,0,0,6,0,0,0,16098403911948738335,301890912546618656,301890912546618656,7463041457606342985,326406851414954668,17566256608407731486,0,0,0,0,0,0,0,0,0,0,0
3,10,1270,8,10,0.058788,21603.09,0.029461,43107.68,0.026599,47745.74,0.029579,42936.37,0.032418,39176.09,0.027334,46461.93,0.042221,30079.66,0.060194,0.011139,0.022205,0.027334,0.120872,0.014223,2,168087,174562,857113,740,0,0,0,1301,0,0,0,635,0,0,0,341,0,0,0,463,0,0,0,7,0,0,0,7542888288155945548,2236603993163842495,2236603993163842495,7882613718979399511,17323221582744357857,7235415643046741075,0,0,0,0,0,0,0,0,0,0,0
4,10,1376,8,10,0.083047,16568.94,0.049511,27791.69,0.031714,43387.63,0.046088,29855.91,0.058245,23624.45,0.048724,28240.77,0.063794,21569.41,0.084008,0.012059,0.015283,0.048724,0.160074,0.016087,7,185817,192262,914911,664,0,0,0,972,0,0,0,592,0,0,0,450,0,0,0,397,0,0,0,12,0,0,0,13928174761156318294,11955030937234813873,11955030937234813873,456682782253149189,10366848292179297652,456682782253149189,0,0,0,0,0,0,0,0,0,0,0
5,10,1402,8,10,0.078731,17807.57,0.037855,37035.88,0.028384,49394.35,0.031348,44723.91,0.041078,34130.57,0.038253,36650.45,0.059216,23676.19,0.079668,0.012530,0.024753,0.038253,0.155204,0.015958,3,182720,190625,840013,721,0,0,0,1170,0,0,0,627,0,0,0,382,0,0,0,557,0,0,0,8,0,0,0,16290277288088353683,4875233189561101288,4875233189561101288,15646527297954148330,14641006597733849939,753872297082245674,0,0,0,0,0,0,0,0,0,0,0
6,10,1316,8,10,0.057989,22693.84,0.025671,51264.69,0.020953,62808.22,0.024869,52916.63,0.030670,42908.31,0.026371,49903.49,0.042329,31089.89,0.059689,0.011340,0.022917,0.026371,0.120317,0.015350,2,170472,178012,808023,585,0,0,0,948,0,0,0,519,0,0,0,280,0,0,0,437,0,0,0,10,0,0,0,17824824804007467497,14458752778911943096,14458752778911943096,6244604045402414464,4307553997793803266,8161925897606614062,0,0,0,0,0,0,0,0,0,0,0
7,10,1218,8,10,0.065769,18519.45,0.038055,32006.69,0.032659,37294.68,0.035938,33891.43,0.041858,29098.08,0.037156,32780.63,0.048745,24987.03,0.067323,0.010948,0.021476,0.037156,0.136903,0.011817,2,161465,167400,745121,636,0,0,0,1221,0,0,0,487,0,0,0,362,0,0,0,391,0,0,0,14,0,0,0,9779896707111420768,1530663532270987305,1530663532270987305,4511338050505343217,1594816548480185679,10018746028516120224,0,0,0,0,0,0,0,0,0,0,0
8,10,1311,8,10,0.055855,23471.67,0.026694,49111.98,0.023299,56268.78,0.026596,49293.13,0.031012,42273.35,0.027695,47337.17,0.041285,31754.50,0.057209,0.010687,0.017827,0.027695,0.113417,0.013824,4,158804,164394,937139,635,0,0,0,1118,0,0,0,458,0,0,0,312,0,0,0,306,0,0,0,4,0,0,0,1423700106706768389,17771188529514404235,17771188529514404235,7101990414578436387,4057381187216851365,9436974243794307436,0,0,0,0,0,0,0,0,0,0,0
9,10,1443,8,10,0.073647,19593.43,0.033872,42600.98,0.024179,59678.84,0.027856,51802.75,0.038069,37904.40,0.027881,51756.12,0.050054,28828.64,0.072257,0.013032,0.033967,0.027881,0.147137,0.016247,1,202873,217023,832322,517,0,0,0,827,0,0,0,600,0,0,0,419,0,0,0,483,0,0,0,10,0,0,0,8358086029567122562,16786520545596514601,16786520545596514601,14924019976109986012,8557975348627139463,3017666861476385637,0,0,0,0,0,0,0,0,0,0,0
10,10,1315,8,10,0.056244,23380.34,0.029573,44466.29,0.021839,60214.32,0.025124,52340.86,0.032019,41069.45,0.028360,46368.47,0.041636,31583.22,0.057193,0.011617,0.022031,0.028360,0.119201,0.013225,2,168850,173850,740191,567,0,0,0,909,0,0,0,635,0,0,0,321,0,0,0,376,0,0,0,6,0,0,0,6191473132128518549,16942536709917308512,16942536709917308512,12391876375222455488,3464053606052219577,5998087966490675037,0,0,0,0,0,0,0,0,0,0,0
