batch_idx,num_blocks,num_txs,delay_ns,seq_time_s,par_time_s,concat_time_s,integrated_time_s,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,par_re_exec,integ_re_exec,num_integrated_groups,par_fallbacks,concat_fallbacks,integ_fallbacks
0,100,18072,50000,8.649267,3.635884,2.795236,5.411575,8.562801,0.132379,0.342729,13005,5953,31,0,0,1
1,100,17248,50000,8.285082,3.422865,2.650194,3.330058,8.328931,0.113500,0.345280,11943,5770,24,0,0,1
2,100,17320,50000,8.879557,4.136492,3.050788,3.411520,8.933331,0.090966,0.333415,14011,6233,35,0,0,0
3,100,17430,50000,8.457956,3.732910,2.977010,3.311705,8.463766,0.104838,0.288595,13767,5907,45,0,0,0
4,100,17481,50000,8.531707,3.691160,4.976986,3.604427,8.579481,0.089795,0.326914,12654,5975,34,0,1,1
5,100,16498,50000,8.175021,3.543276,2.827704,3.047708,8.193732,0.119685,0.331907,11898,6847,30,0,0,0
6,100,16403,50000,8.196989,3.534656,2.645818,3.015380,8.216907,0.124945,0.312879,11483,5819,33,0,0,0
7,100,17219,50000,8.223300,3.553702,2.866159,3.595256,8.205701,0.122776,0.331596,12597,5629,22,0,0,1
8,100,16400,50000,8.078842,3.419510,2.733424,2.986635,8.071061,0.122336,0.301768,11200,5987,37,0,0,0
9,100,16675,50000,8.165139,3.485074,2.742603,3.023730,8.179989,0.116905,0.298602,11619,6023,34,0,0,0
10,100,17175,50000,7.977122,3.352329,2.821697,3.152936,7.979478,0.110374,0.275099,11545,5626,48,0,0,0
11,100,17921,50000,8.060236,3.397367,2.662396,3.059628,8.058543,0.132599,0.322910,13279,6041,27,0,0,0
12,100,16987,50000,8.106284,3.383829,2.697247,3.015491,8.119069,0.103230,0.314919,11465,5260,36,0,0,0
13,100,15859,50000,9.162528,4.028724,2.894163,3.651770,9.156400,0.164294,0.375627,10440,5623,21,0,0,0
14,100,16527,50000,8.327187,3.213985,2.510294,2.697727,8.342357,0.162875,0.346275,10724,5900,18,0,0,0
15,100,17001,50000,8.275601,3.222769,2.377278,2.542983,8.279155,0.114974,0.330055,12384,5669,28,0,0,0
16,100,16078,50000,8.132034,3.206254,2.549110,2.810048,8.129359,0.141456,0.321050,10619,5786,30,0,0,0
17,100,16639,50000,8.691528,2.953657,2.130214,2.372328,8.714277,0.154193,0.348611,11145,5572,17,0,0,0
18,100,16464,50000,7.973535,3.286997,2.596856,2.762164,7.997199,0.114506,0.289811,11558,5527,34,0,0,0
19,100,15786,50000,8.450762,3.540390,2.453919,2.582331,8.489752,0.096722,0.353228,10241,4656,18,0,0,0
