batch_idx,num_blocks,num_txs,delay_ns,seq_time_s,par_time_s,concat_time_s,integrated_time_s,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,par_re_exec,integ_re_exec,num_integrated_groups,par_fallbacks,concat_fallbacks,integ_fallbacks
0,100,18072,50000,8.650947,3.611387,2.785302,5.268966,8.561974,0.132752,0.315593,10526,5577,20,0,0,1
1,100,17248,50000,8.281581,3.418717,2.629722,3.475486,8.328299,0.101556,0.308619,9696,5116,19,0,0,2
2,100,17320,50000,8.869225,3.986799,3.115608,3.259983,8.866492,0.159611,0.316162,11838,6518,19,0,0,0
3,100,17430,50000,8.413934,3.658522,3.052486,3.167724,8.439415,0.120584,0.294256,11195,5973,19,0,0,0
4,100,17481,50000,8.543793,3.553626,5.046047,3.062953,8.559170,0.139280,0.318523,10298,6793,20,0,1,0
5,100,16498,50000,8.197240,3.448467,2.802054,2.833281,8.241771,0.084078,0.317130,9895,6132,17,0,0,0
6,100,16403,50000,8.243557,3.452001,2.669141,3.030908,8.250448,0.161947,0.320277,9466,5822,18,0,0,0
7,100,17219,50000,8.238046,3.478976,2.826251,3.152833,8.244831,0.114725,0.292884,10872,6454,20,0,0,0
8,100,16400,50000,8.073541,3.310649,2.652790,2.827848,8.097300,0.104768,0.277813,9746,5852,19,0,0,0
9,100,16675,50000,8.161417,3.396055,2.801074,2.944390,8.211844,0.096219,0.294209,9844,5663,19,0,0,0
10,100,17175,50000,7.987188,3.286644,2.792640,3.000152,8.016641,0.081871,0.287952,9882,6249,18,0,0,0
11,100,17921,50000,8.065393,3.340527,2.642795,2.936330,8.091264,0.124711,0.295820,9977,5567,19,0,0,0
12,100,16987,50000,8.113065,3.292160,2.678320,2.906871,8.138226,0.122867,0.320094,9354,5282,18,0,0,0
13,100,15859,50000,9.154270,3.995026,3.016849,3.562946,9.192431,0.102151,0.324771,8197,5705,18,0,0,0
14,100,16527,50000,8.307685,3.133815,2.506509,2.680267,8.323944,0.113696,0.286264,8772,5483,19,0,0,0
15,100,17001,50000,8.264253,3.120422,2.350514,2.540465,8.279572,0.111321,0.287954,8975,5431,18,0,0,0
16,100,16078,50000,8.111525,3.140548,2.598735,2.699518,8.152269,0.093636,0.282825,8017,5806,17,0,0,0
17,100,16639,50000,8.701594,2.960593,2.221457,2.552199,8.713184,0.122769,0.288332,7798,5998,19,0,0,0
18,100,16464,50000,7.949807,3.236125,2.605999,2.665010,7.965543,0.113447,0.277485,9123,5750,20,0,0,0
19,100,15786,50000,8.443981,3.449070,2.385402,2.636971,8.482398,0.095235,0.286070,7606,4859,19,0,0,0
