batch_idx,num_blocks,num_txs,delay_ns,seq_time_s,par_time_s,concat_time_s,integrated_time_s,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,par_re_exec,integ_re_exec,num_integrated_groups,par_fallbacks,concat_fallbacks,integ_fallbacks
0,100,18072,0,0.999112,0.419551,0.373151,0.403791,0.892611,0.138886,0.319222,11529,5369,20,0,0,0
1,100,17248,0,0.899337,0.403379,0.347854,0.426850,0.890351,0.139471,0.310840,10476,4628,19,0,0,2
2,100,17320,0,1.079918,0.621888,0.489222,0.498269,1.117623,0.121715,0.310881,12537,6305,19,0,0,0
3,100,17430,0,0.898482,0.438136,0.376355,0.385353,0.901232,0.143373,0.303874,12391,5629,19,0,0,0
4,100,17481,0,1.019722,0.527856,1.068294,0.450955,1.025648,0.133696,0.313404,11314,6270,20,0,1,0
5,100,16498,0,0.890333,0.455093,0.377377,0.377589,0.910075,0.125208,0.299484,10800,6238,17,0,0,0
6,100,16403,0,0.950612,0.456922,0.357166,0.389082,0.950035,0.123320,0.309551,10591,5253,18,0,0,0
7,100,17219,0,0.889361,0.449744,0.367323,0.386224,0.901004,0.132904,0.291726,11793,6106,20,0,0,0
8,100,16400,0,0.943941,0.468108,0.356492,0.360239,0.958473,0.119228,0.283163,10321,5164,19,0,0,0
9,100,16675,0,0.964575,0.486253,0.385948,0.394431,0.982108,0.125212,0.286252,10809,5431,19,0,0,0
10,100,17175,0,0.919961,0.435370,0.368622,0.385193,0.933923,0.122647,0.290393,10569,6147,18,0,0,0
11,100,17921,0,0.900371,0.435442,0.349614,0.352266,0.920347,0.132412,0.293799,11736,5323,19,0,0,0
12,100,16987,0,0.907439,0.442133,0.355769,0.372129,0.927566,0.130506,0.309098,10160,4964,18,0,0,0
13,100,15859,0,0.995884,0.501389,0.356453,0.387478,1.018093,0.131955,0.320744,8854,5781,18,0,0,0
14,100,16527,0,1.371062,0.719768,0.472384,0.396960,1.397771,0.134954,0.305838,9182,5303,19,0,0,0
15,100,17001,0,1.298602,0.684971,0.450311,0.377257,1.343390,0.115316,0.300831,11134,5039,18,0,0,0
16,100,16078,0,1.305028,0.721237,0.507978,0.345984,1.324001,0.153097,0.295941,9007,5327,17,0,0,0
17,100,16639,0,1.333771,0.669861,0.467414,0.372990,1.350391,0.131850,0.294129,8699,5683,19,0,0,0
18,100,16464,0,1.051330,0.537893,0.407911,0.360190,1.067012,0.142719,0.298866,10095,5434,20,0,0,0
19,100,15786,0,1.393355,0.738064,0.479013,0.367623,1.408718,0.119637,0.280622,8612,4496,19,0,0,0
