batch_idx,num_blocks,num_txs,delay_ns,seq_time_s,par_time_s,concat_time_s,integrated_time_s,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,par_re_exec,integ_re_exec,num_integrated_groups,par_fallbacks,concat_fallbacks,integ_fallbacks
0,100,18072,5000,1.786934,0.735389,0.608831,0.814869,1.678195,0.137321,0.315755,11180,5483,20,0,0,0
1,100,17248,5000,1.660485,0.692628,0.572111,0.741636,1.656949,0.133820,0.303818,10304,4637,19,0,0,2
2,100,17320,5000,1.948505,0.943096,0.736547,0.763301,1.931658,0.120242,0.309952,12137,6094,19,0,0,0
3,100,17430,5000,1.663059,0.761772,0.639440,0.666167,1.668658,0.136266,0.317869,11871,5547,19,0,0,0
4,100,17481,5000,1.788688,0.822716,1.512059,0.705826,1.804112,0.123273,0.295133,10946,6029,20,0,1,0
5,100,16498,5000,1.658474,0.738384,0.614143,0.624308,1.679387,0.109024,0.305201,10264,5842,17,0,0,0
6,100,16403,5000,1.660981,0.757181,0.593034,0.657378,1.683285,0.120449,0.296954,10048,5220,18,0,0,0
7,100,17219,5000,1.642437,0.743148,0.609248,0.662906,1.654857,0.124223,0.285944,11273,5717,20,0,0,0
8,100,16400,5000,1.656684,0.748110,0.578684,0.605162,1.673119,0.119634,0.275311,10041,5122,19,0,0,0
9,100,16675,5000,1.701266,0.766172,0.605845,0.638549,1.717447,0.122896,0.280794,10286,5194,19,0,0,0
10,100,17175,5000,1.631834,0.714336,0.613909,0.651644,1.641773,0.128463,0.289343,10183,5966,18,0,0,0
11,100,17921,5000,1.638080,0.725273,0.589281,0.616081,1.682395,0.091604,0.288315,11203,5254,19,0,0,0
12,100,16987,5000,1.646126,0.707764,0.588158,0.630661,1.664252,0.126664,0.309127,9854,4633,18,0,0,0
13,100,15859,5000,1.850519,0.825735,0.594163,0.695987,1.848949,0.140921,0.323887,8529,5524,18,0,0,0
14,100,16527,5000,2.107049,0.908621,0.586842,0.599147,2.103190,0.125501,0.301269,8867,5046,19,0,0,0
15,100,17001,5000,2.038516,0.865125,0.566547,0.593499,2.041275,0.113875,0.305724,10663,5133,18,0,0,0
16,100,16078,5000,2.050387,0.903697,0.609294,0.568826,2.048823,0.120539,0.302533,8483,5144,17,0,0,0
17,100,16639,5000,2.121047,0.848687,0.558310,0.575228,2.128991,0.163028,0.308307,8133,5753,19,0,0,0
18,100,16464,5000,1.796744,0.780829,0.595076,0.585700,1.811280,0.134266,0.301185,9511,5379,20,0,0,0
19,100,15786,5000,2.144255,0.951549,0.616410,0.571854,2.141363,0.139283,0.304224,8059,4407,19,0,0,0
