batch_idx,num_blocks,num_txs,delay_ns,seq_time_s,par_time_s,concat_time_s,integrated_time_s,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,par_re_exec,integ_re_exec,num_integrated_groups,par_fallbacks,concat_fallbacks,integ_fallbacks
0,100,18072,2000,1.309459,0.545607,0.468993,0.568347,1.216207,0.139750,0.314561,11394,5410,20,0,0,0
1,100,17248,2000,1.194457,0.525810,0.442773,0.550983,1.189771,0.140611,0.297589,10208,4542,19,0,0,2
2,100,17320,2000,1.417524,0.752785,0.587293,0.602617,1.449097,0.125474,0.309599,12384,6045,19,0,0,0
3,100,17430,2000,1.185821,0.570483,0.478599,0.494853,1.209187,0.131395,0.292061,11872,5702,19,0,0,0
4,100,17481,2000,1.319633,0.645109,1.234381,0.550881,1.325986,0.132403,0.292438,11175,6140,20,0,1,0
5,100,16498,2000,1.198649,0.568472,0.474318,0.480766,1.219068,0.141212,0.312883,10316,6066,17,0,0,0
6,100,16403,2000,1.223093,0.576423,0.453359,0.490999,1.239492,0.125153,0.295521,10169,5093,18,0,0,0
7,100,17219,2000,1.229987,0.567590,0.465295,0.500541,1.226028,0.112727,0.287641,11576,5911,20,0,0,0
8,100,16400,2000,1.227052,0.585480,0.441638,0.460944,1.247137,0.114282,0.275945,9962,5143,19,0,0,0
9,100,16675,2000,1.266251,0.601223,0.477847,0.484639,1.282532,0.126337,0.279881,10543,5243,19,0,0,0
10,100,17175,2000,1.211914,0.550351,0.468801,0.492454,1.214240,0.126816,0.291275,10286,6242,18,0,0,0
11,100,17921,2000,1.186008,0.550894,0.456133,0.458016,1.207866,0.126739,0.287991,11499,5264,19,0,0,0
12,100,16987,2000,1.209912,0.550013,0.458628,0.490949,1.225365,0.125174,0.311044,10025,4711,18,0,0,0
13,100,15859,2000,1.349543,0.620043,0.440292,0.509612,1.364780,0.129027,0.313194,8617,5490,18,0,0,0
14,100,16527,2000,1.648865,0.789873,0.509265,0.477138,1.655449,0.120761,0.279491,8898,5141,19,0,0,0
15,100,17001,2000,1.582564,0.756335,0.475665,0.456104,1.599825,0.117976,0.284473,10874,5107,18,0,0,0
16,100,16078,2000,1.596513,0.792853,0.529669,0.433419,1.611798,0.116113,0.282786,8734,5207,17,0,0,0
17,100,16639,2000,1.646327,0.748720,0.502951,0.449541,1.665207,0.146860,0.291836,8476,5841,19,0,0,0
18,100,16464,2000,1.340238,0.633471,0.474010,0.450078,1.362178,0.121251,0.277078,9754,5677,20,0,0,0
19,100,15786,2000,1.703048,0.820063,0.529058,0.444491,1.719961,0.138500,0.303788,8318,4527,19,0,0,0
