batch_idx,num_blocks,num_txs,delay_ns,seq_time_s,par_time_s,concat_time_s,integrated_time_s,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,par_re_exec,integ_re_exec,num_integrated_groups,par_fallbacks,concat_fallbacks,integ_fallbacks
0,100,18072,10000,2.567770,1.047431,0.853764,1.209653,2.478683,0.140742,0.322570,11016,5522,20,0,0,0
1,100,17248,10000,2.376711,1.001051,0.812385,1.044636,2.391491,0.145708,0.300634,10005,4714,19,0,0,2
2,100,17320,10000,2.671423,1.271973,0.974460,1.028445,2.685172,0.153664,0.311124,12083,6020,19,0,0,0
3,100,17430,10000,2.444799,1.080372,0.922512,0.938940,2.463870,0.151205,0.314943,11620,5454,19,0,0,0
4,100,17481,10000,2.553197,1.119455,1.893816,0.956330,2.564203,0.129514,0.302162,10690,6245,20,0,1,0
5,100,16498,10000,2.409451,1.031740,0.858848,0.871654,2.401100,0.128037,0.308487,10138,5846,17,0,0,0
6,100,16403,10000,2.419220,1.054034,0.815209,0.905277,2.428481,0.107719,0.296095,9830,5362,18,0,0,0
7,100,17219,10000,2.432517,1.038513,0.867843,0.937957,2.415012,0.122615,0.292163,11276,5888,20,0,0,0
8,100,16400,10000,2.376479,1.013416,0.820719,0.852634,2.390310,0.145446,0.292554,9855,5282,19,0,0,0
9,100,16675,10000,2.447618,1.050135,0.857642,0.896477,2.465076,0.134771,0.295070,10403,5120,19,0,0,0
10,100,17175,10000,2.356521,0.996620,0.858852,0.908258,2.356903,0.125777,0.299748,10298,6044,18,0,0,0
11,100,17921,10000,2.390499,1.003978,0.819182,0.875871,2.387725,0.162003,0.315204,10515,5211,19,0,0,0
12,100,16987,10000,2.370039,0.983016,0.821369,0.881582,2.390053,0.120365,0.306435,9620,4746,18,0,0,0
13,100,15859,10000,2.664012,1.167251,0.865244,1.007089,2.681554,0.139223,0.322371,8247,5372,18,0,0,0
14,100,16527,10000,2.800938,1.139127,0.789752,0.816507,2.789323,0.111626,0.292544,8853,4952,19,0,0,0
15,100,17001,10000,2.707707,1.072500,0.747681,0.799584,2.721527,0.144452,0.295426,9953,5173,18,0,0,0
16,100,16078,10000,2.721826,1.114724,0.785651,0.802441,2.739735,0.123092,0.303969,8329,5284,17,0,0,0
17,100,16639,10000,2.829807,1.061332,0.700614,0.798443,2.849199,0.127157,0.285296,8044,5797,19,0,0,0
18,100,16464,10000,2.503800,1.037493,0.809761,0.814142,2.474593,0.117934,0.276041,9270,5211,20,0,0,0
19,100,15786,10000,2.825407,1.183544,0.793294,0.791439,2.846662,0.116624,0.280006,7935,4567,19,0,0,0
