batch_idx,num_blocks,num_txs,delay_ns,seq_time_s,par_time_s,concat_time_s,integrated_time_s,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,par_re_exec,integ_re_exec,num_integrated_groups,par_fallbacks,concat_fallbacks,integ_fallbacks
0,100,18072,20000,4.087303,1.805731,1.409500,1.786892,3.977467,0.164476,0.346449,12872,5870,31,0,0,0
1,100,17248,20000,3.875319,1.695765,1.331539,1.605235,3.867880,0.170809,0.334938,11931,5157,24,0,0,1
2,100,17320,20000,4.223598,2.195493,1.509538,1.651093,4.257262,0.119406,0.330981,13947,5929,35,0,0,0
3,100,17430,20000,3.947403,1.874619,1.507277,1.604780,3.949218,0.135012,0.304762,13898,5620,45,0,0,0
4,100,17481,20000,4.074215,1.947243,2.651804,1.796999,4.050869,0.145360,0.325787,13035,5440,34,0,1,1
5,100,16498,20000,3.838728,1.795395,1.430089,1.482294,3.854467,0.142272,0.330927,12159,6326,30,0,0,0
6,100,16403,20000,3.923334,1.854638,1.328684,1.468447,3.914259,0.140810,0.351122,11580,5476,33,0,0,0
7,100,17219,20000,3.856928,1.801120,1.451099,1.727816,3.867019,0.138573,0.342715,12889,5015,22,0,0,1
8,100,16400,20000,3.827465,1.767499,1.342241,1.446023,3.849991,0.119860,0.309083,11258,5507,37,0,0,0
9,100,16675,20000,3.901758,1.808775,1.406574,1.485426,3.925518,0.119251,0.319363,11574,5421,34,0,0,0
10,100,17175,20000,3.746463,1.710825,1.407819,1.522377,3.761021,0.151451,0.277818,11660,5239,48,0,0,0
11,100,17921,20000,3.777363,1.696169,1.320970,1.471425,3.794335,0.156501,0.333467,13347,5711,27,0,0,0
12,100,16987,20000,3.858209,1.719406,1.363815,1.468182,3.840344,0.122042,0.302513,11920,4827,36,0,0,0
13,100,15859,20000,4.318620,2.010135,1.417653,1.727879,4.310692,0.149519,0.361656,10419,5282,21,0,0,0
14,100,16527,20000,4.164751,1.870358,1.254099,1.312764,4.173782,0.108492,0.329298,11284,5409,18,0,0,0
15,100,17001,20000,4.102787,1.755498,1.197097,1.271737,4.109273,0.118128,0.320473,13006,5476,28,0,0,0
16,100,16078,20000,4.060203,1.802824,1.247242,1.363438,4.066610,0.115839,0.307699,10907,5258,30,0,0,0
17,100,16639,20000,4.306324,1.692363,1.067859,1.190051,4.350664,0.091371,0.331276,11513,5362,17,0,0,0
18,100,16464,20000,3.857539,1.741156,1.332340,1.354142,3.857236,0.115953,0.295716,11645,5215,34,0,0,0
19,100,15786,20000,4.275722,1.979616,1.201336,1.293442,4.283323,0.110268,0.365017,10405,4465,18,0,0,0
