batch_idx,num_blocks,num_txs,delay_ns,seq_time_s,par_time_s,concat_time_s,integrated_time_s,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,par_re_exec,integ_re_exec,num_integrated_groups,par_fallbacks,concat_fallbacks,integ_fallbacks
0,100,18072,1000,1.161421,0.485690,0.422935,0.504390,1.057841,0.141884,0.315181,11205,5450,20,0,0,0
1,100,17248,1000,1.041993,0.462607,0.394562,0.494415,1.038293,0.138875,0.300107,10258,4605,19,0,0,2
2,100,17320,1000,1.294375,0.688936,0.536386,0.547931,1.304979,0.141533,0.320385,12504,6115,19,0,0,0
3,100,17430,1000,1.052806,0.510198,0.434200,0.440674,1.060849,0.136508,0.302925,12230,5562,19,0,0,0
4,100,17481,1000,1.175229,0.592983,1.193647,0.503278,1.177357,0.151552,0.311836,11256,6006,20,0,1,0
5,100,16498,1000,1.070882,0.519282,0.431916,0.431364,1.077259,0.149384,0.319718,10529,6259,17,0,0,0
6,100,16403,1000,1.129919,0.525036,0.414983,0.451138,1.111230,0.125733,0.315152,10146,5213,18,0,0,0
7,100,17219,1000,1.067464,0.513661,0.431310,0.448468,1.091534,0.133533,0.306207,11587,6019,20,0,0,0
8,100,16400,1000,1.123767,0.542812,0.403730,0.419915,1.119603,0.116432,0.305152,10339,5365,19,0,0,0
9,100,16675,1000,1.167239,0.551342,0.439568,0.438228,1.183479,0.117906,0.301516,10675,5319,19,0,0,0
10,100,17175,1000,1.074648,0.491278,0.424929,0.442944,1.093102,0.123620,0.293179,10549,6151,18,0,0,0
11,100,17921,1000,1.062551,0.494807,0.418100,0.420354,1.100039,0.124920,0.303678,11677,5241,19,0,0,0
12,100,16987,1000,1.068682,0.497994,0.414409,0.426301,1.081628,0.128490,0.304089,10307,4704,18,0,0,0
13,100,15859,1000,1.182470,0.558569,0.402811,0.452195,1.212071,0.123193,0.323999,8830,5619,18,0,0,0
14,100,16527,1000,1.509442,0.756914,0.489894,0.437210,1.514414,0.117935,0.280398,8981,5227,19,0,0,0
15,100,17001,1000,1.441714,0.723728,0.464410,0.406592,1.472534,0.111188,0.295182,10879,5128,18,0,0,0
16,100,16078,1000,1.478912,0.759420,0.520924,0.393965,1.478572,0.122700,0.295716,8898,5282,17,0,0,0
17,100,16639,1000,1.497492,0.708967,0.488094,0.416442,1.515396,0.129046,0.287347,8388,5837,19,0,0,0
18,100,16464,1000,1.244214,0.585171,0.444170,0.406258,1.238946,0.122443,0.287606,9907,5536,20,0,0,0
19,100,15786,1000,1.582231,0.771492,0.510568,0.410192,1.587505,0.128851,0.294898,8405,4410,19,0,0,0
