batch_idx,num_blocks,num_txs,delay_ns,seq_time_s,par_time_s,concat_time_s,integrated_time_s,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,par_re_exec,integ_re_exec,num_integrated_groups,par_fallbacks,concat_fallbacks,integ_fallbacks
0,100,18072,20000,4.074800,1.911122,1.616272,2.191990,3.992448,0.172046,0.262694,13305,4321,70,0,0,0
1,100,17248,20000,3.891862,1.804048,1.533763,1.592113,3.910356,0.092791,0.232425,12345,4195,74,0,0,0
2,100,17320,20000,4.262639,2.312649,1.687557,1.879400,4.240723,0.132792,0.213107,13999,4460,81,0,0,0
3,100,17430,20000,3.932272,1.978940,1.568661,1.714946,3.948342,0.147688,0.217230,14043,4326,83,0,0,0
4,100,17481,20000,4.068627,2.058175,2.700148,1.656006,4.083475,0.125276,0.247660,12925,4947,69,0,1,0
5,100,16498,20000,3.879656,1.908749,1.796658,1.638490,3.864434,0.173210,0.254041,12393,5268,70,0,0,0
6,100,16403,20000,3.883827,1.932973,1.470190,1.671431,3.928472,0.100332,0.243328,12196,4491,71,0,0,0
7,100,17219,20000,3.842392,1.914744,1.567069,1.634787,3.857201,0.144651,0.214362,13246,4235,77,0,0,0
8,100,16400,20000,3.805926,1.847585,1.451341,1.525599,3.811692,0.122468,0.240853,11855,4208,69,0,0,0
9,100,16675,20000,3.903155,1.925387,1.567828,1.586328,3.926225,0.089588,0.245541,11885,4259,67,0,0,0
10,100,17175,20000,3.754073,1.814524,1.569778,1.581030,3.782337,0.126608,0.197058,12020,3824,87,0,0,0
11,100,17921,20000,3.813844,1.828042,1.446275,1.559605,3.805734,0.150603,0.228839,14503,4073,79,0,0,0
12,100,16987,20000,3.838285,1.821875,1.513141,1.538109,3.847008,0.123609,0.229803,11984,3912,78,0,0,0
13,100,15859,20000,4.320882,2.101184,1.484546,1.833095,4.310421,0.118920,0.264715,10460,4531,70,0,0,0
14,100,16527,20000,4.184500,1.930641,1.405653,1.508645,4.224094,0.081049,0.232212,11243,3703,72,0,0,0
15,100,17001,20000,4.134756,1.847723,1.342092,1.466894,4.132903,0.108584,0.249330,13852,3826,70,0,0,0
16,100,16078,20000,4.100444,1.919754,1.551222,1.469470,4.101809,0.110120,0.221882,11170,4076,74,0,0,0
17,100,16639,20000,4.331503,1.785017,1.206731,1.335979,4.347525,0.116474,0.274567,11954,4669,53,0,0,0
18,100,16464,20000,3.825541,1.836712,1.435364,1.474255,3.870403,0.123252,0.233595,12071,3809,69,0,0,0
19,100,15786,20000,4.236251,2.054831,1.400889,1.436857,4.250126,0.164620,0.239851,10656,3243,67,0,0,0
