batch_idx,k,m,num_blocks,num_txs,seq_time_s,seq_tput,par_time_s,par_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,num_integrated_groups
83,1,10,50,5000,0.524971,9524.33,0.000000,0.00,0.000000,0.00,0.098282,50873.87,50
84,1,10,50,5000,0.525427,9516.07,0.000000,0.00,0.000000,0.00,0.099037,50486.30,50
85,1,10,50,5000,0.530033,9433.38,0.000000,0.00,0.000000,0.00,0.099402,50300.79,50
86,1,10,50,5000,0.526773,9491.75,0.000000,0.00,0.000000,0.00,0.099088,50460.06,50
87,1,10,50,5000,0.525940,9506.78,0.000000,0.00,0.000000,0.00,0.100780,49613.18,50
88,1,10,50,5000,0.534847,9348.47,0.000000,0.00,0.000000,0.00,0.102413,48821.86,50
89,1,10,50,5000,0.527878,9471.88,0.000000,0.00,0.000000,0.00,0.101040,49485.17,50
90,1,10,50,5000,0.526601,9494.86,0.000000,0.00,0.000000,0.00,0.100562,49720.54,50
91,1,10,50,5000,0.526148,9503.04,0.000000,0.00,0.000000,0.00,0.098488,50767.66,50
92,1,10,50,5000,0.528650,9458.06,0.000000,0.00,0.000000,0.00,0.098999,50505.61,50
93,1,10,50,5000,0.525372,9517.06,0.000000,0.00,0.000000,0.00,0.098869,50572.14,50
94,1,10,50,5000,0.530658,9422.26,0.000000,0.00,0.000000,0.00,0.099678,50161.37,50
95,1,10,50,5000,0.526246,9501.27,0.000000,0.00,0.000000,0.00,0.099639,50181.08,50
96,1,10,50,5000,0.531326,9410.42,0.000000,0.00,0.000000,0.00,0.101433,49293.76,50
97,1,10,50,5000,0.531772,9402.53,0.000000,0.00,0.000000,0.00,0.099143,50432.39,50
98,1,10,50,5000,0.528179,9466.49,0.000000,0.00,0.000000,0.00,0.099449,50276.81,50
99,1,10,50,5000,0.524292,9536.67,0.000000,0.00,0.000000,0.00,0.100099,49950.57,50
