batch_idx,k,m,num_blocks,num_txs,seq_time_s,seq_tput,par_time_s,par_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,num_integrated_groups
0,6,20,50,5000,0.535168,9342.86,0.000000,0.00,0.000000,0.00,0.145912,34267.30,50
1,6,20,50,5000,0.533352,9374.67,0.000000,0.00,0.000000,0.00,0.144320,34645.32,50
2,6,20,50,5000,0.553089,9040.14,0.000000,0.00,0.000000,0.00,0.143177,34921.93,50
3,6,20,50,5000,0.531048,9415.35,0.000000,0.00,0.000000,0.00,0.143826,34764.31,50
4,6,20,50,5000,0.535056,9344.81,0.000000,0.00,0.000000,0.00,0.145416,34384.05,50
5,6,20,50,5000,0.538447,9285.96,0.000000,0.00,0.000000,0.00,0.143315,34888.14,50
6,6,20,50,5000,0.533939,9364.36,0.000000,0.00,0.000000,0.00,0.142754,35025.24,50
7,6,20,50,5000,0.530695,9421.61,0.000000,0.00,0.000000,0.00,0.144665,34562.65,50
8,6,20,50,5000,0.532800,9384.38,0.000000,0.00,0.000000,0.00,0.142573,35069.75,50
9,6,20,50,5000,0.536944,9311.95,0.000000,0.00,0.000000,0.00,0.143081,34945.31,50
10,6,20,50,5000,0.530805,9419.66,0.000000,0.00,0.000000,0.00,0.145158,34445.31,50
11,6,20,50,5000,0.532971,9381.38,0.000000,0.00,0.000000,0.00,0.143706,34793.32,50
12,6,20,50,5000,0.538043,9292.94,0.000000,0.00,0.000000,0.00,0.143908,34744.48,50
13,6,20,50,5000,0.530309,9428.46,0.000000,0.00,0.000000,0.00,0.145253,34422.65,50
14,6,20,50,5000,0.537182,9307.84,0.000000,0.00,0.000000,0.00,0.142701,35038.37,50
15,6,20,50,5000,0.531310,9410.70,0.000000,0.00,0.000000,0.00,0.145213,34432.25,50
16,6,20,50,5000,0.537684,9299.14,0.000000,0.00,0.000000,0.00,0.143127,34933.99,50
17,6,20,50,5000,0.538110,9291.78,0.000000,0.00,0.000000,0.00,0.144386,34629.34,50
18,6,20,50,5000,0.531538,9406.66,0.000000,0.00,0.000000,0.00,0.144849,34518.77,50
19,6,20,50,5000,0.536097,9326.67,0.000000,0.00,0.000000,0.00,0.143018,34960.55,50
20,6,20,50,5000,0.533701,9368.53,0.000000,0.00,0.000000,0.00,0.143050,34952.85,50
21,6,20,50,5000,0.530685,9421.79,0.000000,0.00,0.000000,0.00,0.146055,34233.76,50
22,6,20,50,5000,0.533554,9371.13,0.000000,0.00,0.000000,0.00,0.143396,34868.41,50
23,6,20,50,5000,0.530935,9417.34,0.000000,0.00,0.000000,0.00,0.143946,34735.14,50
24,6,20,50,5000,0.534599,9352.80,0.000000,0.00,0.000000,0.00,0.143649,34806.95,50
25,6,20,50,5000,0.535880,9330.46,0.000000,0.00,0.000000,0.00,0.142453,35099.26,50
26,6,20,50,5000,0.532478,9390.07,0.000000,0.00,0.000000,0.00,0.142960,34974.91,50
27,6,20,50,5000,0.543731,9195.72,0.000000,0.00,0.000000,0.00,0.142647,35051.54,50
28,6,20,50,5000,0.533358,9374.57,0.000000,0.00,0.000000,0.00,0.142999,34965.29,50
29,6,20,50,5000,0.532367,9392.01,0.000000,0.00,0.000000,0.00,0.143956,34732.89,50
30,6,20,50,5000,0.556057,8991.88,0.000000,0.00,0.000000,0.00,0.142917,34985.34,50
31,6,20,50,5000,0.535540,9336.37,0.000000,0.00,0.000000,0.00,0.143101,34940.39,50
32,6,20,50,5000,0.534635,9352.17,0.000000,0.00,0.000000,0.00,0.146249,34188.34,50
33,6,20,50,5000,0.536876,9313.15,0.000000,0.00,0.000000,0.00,0.143441,34857.43,50
34,6,20,50,5000,0.530321,9428.26,0.000000,0.00,0.000000,0.00,0.140937,35476.89,50
35,6,20,50,5000,0.532863,9383.28,0.000000,0.00,0.000000,0.00,0.142880,34994.32,50
36,6,20,50,5000,0.533361,9374.51,0.000000,0.00,0.000000,0.00,0.143240,34906.41,50
37,6,20,50,5000,0.531338,9410.21,0.000000,0.00,0.000000,0.00,0.144570,34585.31,50
38,6,20,50,5000,0.529947,9434.91,0.000000,0.00,0.000000,0.00,0.143806,34768.95,50
39,6,20,50,5000,0.538292,9288.64,0.000000,0.00,0.000000,0.00,0.144179,34679.04,50
40,6,20,50,5000,0.531556,9406.35,0.000000,0.00,0.000000,0.00,0.144796,34531.24,50
41,6,20,50,5000,0.534560,9353.49,0.000000,0.00,0.000000,0.00,0.142017,35206.95,50
42,6,20,50,5000,0.535232,9341.74,0.000000,0.00,0.000000,0.00,0.143937,34737.41,50
43,6,20,50,5000,0.534019,9362.96,0.000000,0.00,0.000000,0.00,0.143380,34872.35,50
44,6,20,50,5000,0.532147,9395.89,0.000000,0.00,0.000000,0.00,0.144537,34593.22,50
45,6,20,50,5000,0.535409,9338.65,0.000000,0.00,0.000000,0.00,0.144850,34518.42,50
46,6,20,50,5000,0.556306,8987.86,0.000000,0.00,0.000000,0.00,0.143181,34920.74,50
47,6,20,50,5000,0.533567,9370.90,0.000000,0.00,0.000000,0.00,0.145448,34376.45,50
48,6,20,50,5000,0.533283,9375.89,0.000000,0.00,0.000000,0.00,0.143322,34886.43,50
49,6,20,50,5000,0.532734,9385.54,0.000000,0.00,0.000000,0.00,0.144997,34483.57,50
50,6,20,50,5000,0.531442,9408.37,0.000000,0.00,0.000000,0.00,0.144000,34722.34,50
51,6,20,50,5000,0.531454,9408.15,0.000000,0.00,0.000000,0.00,0.145121,34454.03,50
52,6,20,50,5000,0.531347,9410.04,0.000000,0.00,0.000000,0.00,0.146232,34192.23,50
53,6,20,50,5000,0.541374,9235.77,0.000000,0.00,0.000000,0.00,0.145521,34359.29,50
54,6,20,50,5000,0.532980,9381.21,0.000000,0.00,0.000000,0.00,0.144542,34592.06,50
55,6,20,50,5000,0.532703,9386.09,0.000000,0.00,0.000000,0.00,0.141946,35224.59,50
56,6,20,50,5000,0.534335,9357.43,0.000000,0.00,0.000000,0.00,0.142735,35029.98,50
57,6,20,50,5000,0.534184,9360.07,0.000000,0.00,0.000000,0.00,0.144197,34674.84,50
58,6,20,50,5000,0.535014,9345.54,0.000000,0.00,0.000000,0.00,0.145917,34265.98,50
59,6,20,50,5000,0.533980,9363.65,0.000000,0.00,0.000000,0.00,0.142379,35117.50,50
60,6,20,50,5000,0.540076,9257.96,0.000000,0.00,0.000000,0.00,0.140943,35475.28,50
61,6,20,50,5000,0.534156,9360.56,0.000000,0.00,0.000000,0.00,0.145811,34291.05,50
62,6,20,50,5000,0.530952,9417.04,0.000000,0.00,0.000000,0.00,0.144023,34716.60,50
63,6,20,50,5000,0.532140,9396.02,0.000000,0.00,0.000000,0.00,0.144629,34571.21,50
64,6,20,50,5000,0.532340,9392.50,0.000000,0.00,0.000000,0.00,0.144565,34586.62,50
65,6,20,50,5000,0.535643,9334.58,0.000000,0.00,0.000000,0.00,0.143781,34775.17,50
66,6,20,50,5000,0.532303,9393.15,0.000000,0.00,0.000000,0.00,0.141901,35235.88,50
67,6,20,50,5000,0.534991,9345.95,0.000000,0.00,0.000000,0.00,0.146966,34021.46,50
68,6,20,50,5000,0.534450,9355.42,0.000000,0.00,0.000000,0.00,0.143515,34839.66,50
69,6,20,50,5000,0.533022,9380.47,0.000000,0.00,0.000000,0.00,0.144675,34560.21,50
70,6,20,50,5000,0.530297,9428.67,0.000000,0.00,0.000000,0.00,0.143037,34955.95,50
71,6,20,50,5000,0.531485,9407.61,0.000000,0.00,0.000000,0.00,0.143204,34915.33,50
72,6,20,50,5000,0.531314,9410.64,0.000000,0.00,0.000000,0.00,0.145940,34260.57,50
73,6,20,50,5000,0.532370,9391.96,0.000000,0.00,0.000000,0.00,0.143093,34942.33,50
74,6,20,50,5000,0.553386,9035.29,0.000000,0.00,0.000000,0.00,0.141325,35379.48,50
75,6,20,50,5000,0.554137,9023.04,0.000000,0.00,0.000000,0.00,0.140622,35556.30,50
76,6,20,50,5000,0.559344,8939.04,0.000000,0.00,0.000000,0.00,0.144920,34501.80,50
77,6,20,50,5000,0.535398,9338.85,0.000000,0.00,0.000000,0.00,0.144604,34577.10,50
78,6,20,50,5000,0.542936,9209.18,0.000000,0.00,0.000000,0.00,0.143983,34726.26,50
79,6,20,50,5000,0.533130,9378.58,0.000000,0.00,0.000000,0.00,0.142725,35032.30,50
80,6,20,50,5000,0.534538,9353.87,0.000000,0.00,0.000000,0.00,0.140378,35618.23,50
81,6,20,50,5000,0.532983,9381.17,0.000000,0.00,0.000000,0.00,0.141794,35262.50,50
82,6,20,50,5000,0.529575,9441.54,0.000000,0.00,0.000000,0.00,0.143521,34837.99,50
83,6,20,50,5000,0.531381,9409.45,0.000000,0.00,0.000000,0.00,0.142998,34965.62,50
84,6,20,50,5000,0.532249,9394.10,0.000000,0.00,0.000000,0.00,0.144519,34597.56,50
85,6,20,50,5000,0.555774,8996.46,0.000000,0.00,0.000000,0.00,0.144803,34529.71,50
86,6,20,50,5000,0.535830,9331.31,0.000000,0.00,0.000000,0.00,0.144713,34551.15,50
