batch_idx,k,m,num_blocks,num_txs,seq_time_s,seq_tput,par_time_s,par_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,num_integrated_groups
0,6,30,50,5000,0.526274,9500.76,0.000000,0.00,0.000000,0.00,0.142779,35019.20,31
1,6,30,50,5000,0.526518,9496.36,0.000000,0.00,0.000000,0.00,0.131677,37971.64,30
2,6,30,50,5000,0.542803,9211.44,0.000000,0.00,0.000000,0.00,0.138460,36111.47,31
3,6,30,50,5000,0.544138,9188.84,0.000000,0.00,0.000000,0.00,0.142962,34974.23,32
4,6,30,50,5000,0.526887,9489.71,0.000000,0.00,0.000000,0.00,0.137668,36319.17,31
5,6,30,50,5000,0.526283,9500.59,0.000000,0.00,0.000000,0.00,0.132111,37846.84,30
6,6,30,50,5000,0.525824,9508.89,0.000000,0.00,0.000000,0.00,0.134297,37230.97,30
7,6,30,50,5000,0.524616,9530.78,0.000000,0.00,0.000000,0.00,0.136068,36746.37,31
8,6,30,50,5000,0.526275,9500.74,0.000000,0.00,0.000000,0.00,0.132230,37813.01,31
9,6,30,50,5000,0.528610,9458.76,0.000000,0.00,0.000000,0.00,0.142289,35139.77,30
10,6,30,50,5000,0.525961,9506.40,0.000000,0.00,0.000000,0.00,0.137123,36463.60,30
11,6,30,50,5000,0.529506,9442.76,0.000000,0.00,0.000000,0.00,0.138624,36068.75,31
12,6,30,50,5000,0.524539,9532.19,0.000000,0.00,0.000000,0.00,0.140664,35545.80,32
13,6,30,50,5000,0.526471,9497.20,0.000000,0.00,0.000000,0.00,0.138698,36049.56,32
14,6,30,50,5000,0.526371,9499.01,0.000000,0.00,0.000000,0.00,0.143136,34931.69,30
15,6,30,50,5000,0.530404,9426.78,0.000000,0.00,0.000000,0.00,0.133900,37341.26,30
16,6,30,50,5000,0.524933,9525.02,0.000000,0.00,0.000000,0.00,0.138436,36117.66,30
17,6,30,50,5000,0.527700,9475.09,0.000000,0.00,0.000000,0.00,0.133640,37414.02,31
18,6,30,50,5000,0.530285,9428.88,0.000000,0.00,0.000000,0.00,0.139001,35971.08,31
19,6,30,50,5000,0.525570,9513.48,0.000000,0.00,0.000000,0.00,0.138868,36005.47,31
20,6,30,50,5000,0.524281,9536.87,0.000000,0.00,0.000000,0.00,0.134956,37049.15,30
21,6,30,50,5000,0.525823,9508.90,0.000000,0.00,0.000000,0.00,0.133142,37553.79,30
22,6,30,50,5000,0.524838,9526.76,0.000000,0.00,0.000000,0.00,0.137811,36281.56,30
23,6,30,50,5000,0.526133,9503.30,0.000000,0.00,0.000000,0.00,0.129202,38698.96,30
24,6,30,50,5000,0.538511,9284.86,0.000000,0.00,0.000000,0.00,0.140265,35646.74,31
25,6,30,50,5000,0.524637,9530.40,0.000000,0.00,0.000000,0.00,0.131155,38122.89,30
26,6,30,50,5000,0.528631,9458.40,0.000000,0.00,0.000000,0.00,0.137247,36430.73,30
27,6,30,50,5000,0.526826,9490.79,0.000000,0.00,0.000000,0.00,0.132072,37858.15,30
28,6,30,50,5000,0.525503,9514.70,0.000000,0.00,0.000000,0.00,0.135441,36916.47,30
29,6,30,50,5000,0.526768,9491.85,0.000000,0.00,0.000000,0.00,0.142576,35069.01,31
30,6,30,50,5000,0.525740,9510.40,0.000000,0.00,0.000000,0.00,0.142137,35177.37,29
31,6,30,50,5000,0.525986,9505.95,0.000000,0.00,0.000000,0.00,0.148806,33600.72,32
32,6,30,50,5000,0.526865,9490.09,0.000000,0.00,0.000000,0.00,0.137302,36416.13,30
33,6,30,50,5000,0.524673,9529.74,0.000000,0.00,0.000000,0.00,0.137961,36242.23,31
34,6,30,50,5000,0.529567,9441.67,0.000000,0.00,0.000000,0.00,0.144382,34630.39,30
35,6,30,50,5000,0.524015,9541.71,0.000000,0.00,0.000000,0.00,0.137289,36419.44,31
36,6,30,50,5000,0.528957,9452.56,0.000000,0.00,0.000000,0.00,0.137649,36324.36,30
37,6,30,50,5000,0.523885,9544.09,0.000000,0.00,0.000000,0.00,0.137104,36468.66,31
38,6,30,50,5000,0.525697,9511.18,0.000000,0.00,0.000000,0.00,0.139422,35862.38,30
39,6,30,50,5000,0.527369,9481.02,0.000000,0.00,0.000000,0.00,0.138108,36203.49,30
40,6,30,50,5000,0.531307,9410.75,0.000000,0.00,0.000000,0.00,0.133099,37566.12,30
41,6,30,50,5000,0.527166,9484.68,0.000000,0.00,0.000000,0.00,0.136459,36641.07,30
42,6,30,50,5000,0.524682,9529.59,0.000000,0.00,0.000000,0.00,0.133747,37384.07,30
43,6,30,50,5000,0.526115,9503.63,0.000000,0.00,0.000000,0.00,0.135967,36773.58,31
44,6,30,50,5000,0.525094,9522.10,0.000000,0.00,0.000000,0.00,0.131904,37906.42,30
45,6,30,50,5000,0.524924,9525.19,0.000000,0.00,0.000000,0.00,0.137136,36460.22,30
46,6,30,50,5000,0.525611,9512.74,0.000000,0.00,0.000000,0.00,0.135826,36811.89,30
47,6,30,50,5000,0.532724,9385.72,0.000000,0.00,0.000000,0.00,0.144295,34651.15,32
48,6,30,50,5000,0.524957,9524.58,0.000000,0.00,0.000000,0.00,0.133634,37415.68,30
49,6,30,50,5000,0.525179,9520.56,0.000000,0.00,0.000000,0.00,0.132561,37718.38,30
50,6,30,50,5000,0.545072,9173.10,0.000000,0.00,0.000000,0.00,0.133585,37429.46,30
51,6,30,50,5000,0.545868,9159.72,0.000000,0.00,0.000000,0.00,0.130934,38187.28,30
52,6,30,50,5000,0.530336,9427.99,0.000000,0.00,0.000000,0.00,0.132270,37801.36,30
53,6,30,50,5000,0.526058,9504.65,0.000000,0.00,0.000000,0.00,0.132212,37818.08,29
54,6,30,50,5000,0.525381,9516.89,0.000000,0.00,0.000000,0.00,0.137854,36270.38,30
55,6,30,50,5000,0.524566,9531.69,0.000000,0.00,0.000000,0.00,0.133267,37518.78,30
56,6,30,50,5000,0.525222,9519.78,0.000000,0.00,0.000000,0.00,0.134306,37228.55,30
57,6,30,50,5000,0.524757,9528.22,0.000000,0.00,0.000000,0.00,0.138373,36134.20,31
58,6,30,50,5000,0.528437,9461.87,0.000000,0.00,0.000000,0.00,0.151464,33011.16,33
