batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta,cgraph_cross_block_aborts,cgraph_cross_block_cascade,graph_cross_block_aborts,graph_cross_block_cascade,integ_cross_block_aborts,integ_cross_block_cascade
0,100,13679,8,10,0.660347,20714.88,0.338802,40374.56,0.271722,50341.85,0.307714,44453.61,0.388362,35222.32,0.283248,48293.42,0.487332,28069.18,0.662722,0.131586,0.295135,0.283248,1.372691,0.168408,17,1705005,1824315,8602654,6664,2498,1753,61,11660,2920,2701,79,6844,3702,2771,0,3514,1646,1076,0,4106,2156,1387,0,75,0,0,0,16290181522686356851,12660389987259375045,12660389987259375045,8413649451118563891,14794073097919835386,15887818022966254384,1120,912,0,0,1559,1018
1,100,14553,8,10,0.645435,22547.58,0.302168,48161.94,0.235567,61778.57,0.286640,50771.00,0.360090,40414.85,0.268785,54143.62,0.506300,28743.83,0.657691,0.112291,0.242497,0.268785,1.281264,0.167315,18,1672070,2024275,9646121,5690,2261,1490,51,9644,2465,2187,56,7530,4154,3327,0,3200,1569,987,0,3796,1935,1276,0,60,0,0,0,10661044271286872451,14843584958465260910,14843584958465260910,1424694399152275178,16828959023218025746,286984776628687817,1341,1129,0,0,1385,949
2,100,13931,8,10,0.638784,21808.63,0.291294,47824.52,0.221328,62942.88,0.284148,49027.32,0.341761,40762.37,0.256204,54374.54,0.444365,31350.37,0.634383,0.118860,0.248328,0.256204,1.257775,0.157507,20,1641096,1705306,9350358,5345,2078,1411,67,8958,2258,2059,52,6113,3330,2541,0,3007,1397,843,0,3704,2026,1262,0,66,0,0,0,1490727333569002472,4402424285216853895,4402424285216853895,1049501024281994910,11379884959634897697,4357915444581620703,1099,910,0,0,1396,874
3,100,13901,8,10,0.657386,21145.87,0.331358,41951.66,0.237705,58480.11,0.290509,47850.51,0.387180,35903.22,0.271468,51206.69,0.480207,28947.96,0.690103,0.100559,0.256374,0.271468,1.318504,0.155981,16,1633112,1785472,9060965,5518,2158,1488,40,9102,2486,2240,41,6326,3545,2718,0,3184,1527,913,0,3990,2110,1348,0,69,0,0,0,14500193851064682657,5002308453480877089,5002308453480877089,15915446536853492252,1209229680543053029,275238337536773818,1243,1008,0,0,1506,965
4,100,14066,8,10,0.674107,20866.13,0.339005,41491.98,0.259608,54181.69,0.323018,43545.56,0.396823,35446.55,0.291727,48216.38,0.522623,26914.25,0.694344,0.108587,0.234675,0.291727,1.329333,0.164720,19,1714123,1880068,8801525,7116,2298,1677,298,11450,2546,2345,312,6717,3803,2878,0,3510,1684,1002,0,3864,2066,1343,9,150,0,0,0,4350232754016254307,16059151523650557020,16864411614876087059,14740570392512317464,8400727237666163206,11263940046570397026,1218,1045,0,0,1346,882
5,100,13375,8,10,0.631500,21179.72,0.299948,44591.13,0.252150,53043.75,0.304336,43948.17,0.358881,37268.63,0.277330,48227.73,0.430896,31040.01,0.648493,0.105474,0.237083,0.277330,1.268380,0.149141,17,1601759,1667209,9867979,5195,2092,1403,163,10312,2511,2341,169,7067,3804,2913,0,3228,1505,956,0,4428,2321,1609,10,74,0,0,0,4028395905601630330,18130115087217178391,18130115087217178391,13137333110564342947,10805370404555557031,9757921840800006188,1273,1044,0,0,1681,1198
6,100,14060,8,10,0.697846,20147.70,0.349109,40274.00,0.266245,52808.43,0.313987,44778.92,0.396524,35458.17,0.285986,49163.18,0.530358,26510.38,0.718574,0.114250,0.228923,0.285986,1.347733,0.165465,24,1766426,1926201,9969365,7016,2475,1768,66,11426,2702,2505,88,7515,4129,3200,0,3727,1772,1147,0,4063,2236,1436,3,103,0,0,0,11317186355931760512,15031582686461311345,15031582686461311345,15493272146988416672,11619693326004522256,14461460683636258410,1325,1141,0,0,1517,999
7,100,13097,8,10,0.622217,21048.94,0.310320,42204.85,0.215165,60869.45,0.268058,48858.80,0.357838,36600.32,0.256766,51007.58,0.483335,27097.16,0.636769,0.102448,0.208599,0.256766,1.204581,0.145493,20,1530842,1677852,10708072,6001,2231,1577,325,9114,2403,2145,309,6377,3591,2738,0,2608,1291,748,0,3293,1866,1120,129,77,0,0,0,13285527963487704739,4382038379163290352,4382038379163290352,4689998498545166420,12013248727030501728,2487966954266182801,1187,929,0,0,1219,742
8,100,13416,8,10,0.648571,20685.47,0.290349,46206.48,0.244347,54905.52,0.305831,43867.36,0.353577,37943.64,0.275613,48676.99,0.446132,30071.83,0.669348,0.112716,0.242483,0.275613,1.300160,0.153413,17,1733666,1773871,8974075,5146,1964,1280,73,9922,2387,2228,89,8190,4454,3520,0,3504,1621,1003,0,4466,2367,1521,1,68,0,0,0,9282029056521524698,3812576794807007700,3812576794807007700,16858406457088217404,5454329036141077365,2500018394892371479,1522,1311,0,0,1786,1161
9,100,14084,8,10,0.659240,21364.01,0.309940,45441.12,0.241221,58386.29,0.301682,46684.91,0.363706,38723.63,0.282662,49826.29,0.457020,30817.05,0.680334,0.111008,0.243115,0.282662,1.317118,0.170836,16,1679023,1805543,9257711,5305,2047,1400,89,9393,2365,2176,82,7130,3806,3008,0,3073,1406,860,0,3696,1918,1207,0,78,0,0,0,6442074769590520297,16936450751885753835,16936450751885753835,2889596036050776807,16989835258011770885,3507736507723744895,1355,1154,0,0,1408,884
