batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta,cgraph_cross_block_aborts,cgraph_cross_block_cascade,graph_cross_block_aborts,graph_cross_block_cascade,integ_cross_block_aborts,integ_cross_block_cascade
0,100,13679,8,10,0.657704,20798.12,0.341304,40078.61,0.272194,50254.54,0.300891,45461.65,0.352993,38751.46,0.273308,50049.70,0.476010,28736.77,0.659694,0.121671,0.197419,0.273308,1.252092,0.128774,17,1338424,1448784,8602654,6841,2631,1885,60,11580,2820,2599,77,10043,5718,4243,37,3931,1850,1154,2,5930,2902,2071,3,105,0,0,0,16290181522686356851,12660389987259375045,12660389987259375045,8413649451118563891,11357495751644599504,4071082038174601821,2080,1611,0,0,2170,1570
1,100,14553,8,10,0.659505,22066.54,0.304760,47752.28,0.235905,61690.21,0.836723,17392.85,0.345995,42061.35,0.263971,55131.09,0.508334,28628.84,0.662919,0.092437,0.184498,0.263971,1.203825,0.135231,18,1299198,1641343,9646121,5759,2300,1557,56,10065,2512,2228,62,0,0,0,0,3585,1708,1079,2,4846,2524,1742,1,68,0,0,0,10661044271286872451,14843584958465260910,14843584958465260910,1424694399152275178,17393203424048206410,7025103721255732847,0,0,0,0,1837,1290
2,100,13931,8,10,0.611172,22793.91,0.294515,47301.44,0.225670,61731.66,0.276029,50469.34,0.318582,43728.09,0.243725,57158.66,0.449532,30989.98,0.624313,0.083387,0.158589,0.243725,1.110014,0.128356,22,1272456,1326266,9350358,5300,2027,1359,64,8994,2244,2051,58,8239,4571,3402,16,3512,1669,1022,3,4765,2597,1666,2,86,0,0,0,1490727333569002472,4402424285216853895,4402424285216853895,1049501024281994910,4164465633868413917,2539034738150290684,1711,1328,0,0,1762,1123
3,100,13901,8,10,0.656703,21167.87,0.338856,41023.30,0.243170,57165.73,0.271048,51286.18,0.356733,38967.49,0.259120,53646.93,0.473628,29350.05,0.674086,0.084126,0.175801,0.259120,1.193133,0.126623,18,1258236,1401151,9060965,5489,2117,1434,44,9125,2489,2247,38,8349,4629,3418,12,3693,1814,1091,1,5367,2797,1847,3,84,0,0,0,14500193851064682657,5002308453480877089,5002308453480877089,15915446536853492252,839565483351919175,859205285200062744,1722,1285,0,0,1963,1322
4,100,14066,8,10,0.677027,20776.12,0.339088,41481.90,0.260769,53940.50,0.315538,44577.87,0.378147,37197.21,0.276217,50923.73,0.523482,26870.08,0.691727,0.082130,0.168214,0.276217,1.218288,0.136107,20,1332671,1489381,8801525,7158,2288,1693,298,11213,2494,2319,316,8904,4910,3605,66,4261,2061,1288,54,4689,2411,1639,15,164,0,0,0,4350232754016254307,16059151523650557020,16864411614876087059,14740570392512317464,7892003393297774863,13396446810120057935,1616,1281,0,0,1622,1114
5,100,13375,8,10,0.625244,21391.63,0.298630,44787.80,0.250685,53353.89,0.295901,45201.00,0.329830,40551.22,0.260998,51245.53,0.427038,31320.42,0.637784,0.083013,0.161217,0.260998,1.143012,0.122311,17,1238682,1292737,9867979,5192,2096,1417,170,10182,2558,2398,165,9069,4934,3637,17,3570,1758,1081,8,5225,2633,1839,13,97,0,0,0,4028395905601630330,18130115087217178391,18130115087217178391,13137333110564342947,635262676269237920,13733571769277934869,1786,1290,0,0,1865,1307
6,100,14060,8,10,0.702609,20011.13,0.348005,40401.75,0.271685,51751.11,0.309830,45379.66,0.374596,37533.82,0.265587,52939.40,0.527520,26653.03,0.729714,0.079930,0.180604,0.265587,1.255835,0.136618,23,1381802,1529337,9969365,7134,2496,1787,64,11699,2740,2520,94,9208,5148,3819,37,4283,2018,1333,3,4464,2314,1475,6,110,0,0,0,11317186355931760512,15031582686461311345,15031582686461311345,15493272146988416672,11513689783533774103,2847093830339689770,1795,1379,0,0,1568,1038
7,100,13097,8,10,0.624312,20978.29,0.304273,43043.53,0.217066,60336.53,0.264436,49528.02,0.330758,39596.98,0.239201,54753.06,0.479989,27286.03,0.638027,0.076636,0.151712,0.239201,1.105576,0.118963,18,1187936,1327476,10708072,5902,2165,1494,302,9467,2415,2169,339,7778,4547,3204,61,3108,1564,968,8,4204,2310,1496,180,89,0,0,0,13285527963487704739,4382038379163290352,4382038379163290352,4689998498545166420,6773696704357076435,13969450206830234843,1741,1143,0,0,1570,1035
8,100,13416,8,10,0.657067,20418.02,0.291380,46042.92,0.244644,54838.90,0.301804,44452.70,0.328871,40794.15,0.254908,52630.83,0.437288,30680.02,0.664263,0.085344,0.170946,0.254908,1.175460,0.127643,17,1359998,1390348,8974075,5100,1954,1276,84,9629,2306,2156,69,9551,5347,4071,18,4026,1893,1212,3,5309,2685,1794,3,84,0,0,0,9282029056521524698,3812576794807007700,3812576794807007700,16858406457088217404,16622690770694867663,2690850827300496450,2045,1663,0,0,2007,1354
9,100,14084,8,10,0.651230,21626.76,0.302925,46493.38,0.239978,58688.74,0.290747,48440.69,0.334494,42105.33,0.248515,56672.53,0.458669,30706.24,0.664445,0.083144,0.164442,0.248515,1.160547,0.138894,16,1298055,1414345,9257711,5233,1998,1345,69,9284,2362,2158,82,8321,4680,3467,18,3615,1705,1078,2,4868,2483,1663,4,94,0,0,0,6442074769590520297,16936450751885753835,16936450751885753835,2889596036050776807,6264011433700869907,11527199335877782775,1789,1384,0,0,1804,1224
