batch_idx,num_blocks,num_txs,delay_ns,seq_time_s,par_time_s,concat_time_s,integrated_time_s,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,par_re_exec,integ_re_exec,num_integrated_groups
0,100,18072,20000,4.183686,1.851789,1.437492,2.130719,4.091797,0.141308,0.236883,13185,8161,30
1,100,17248,20000,3.975760,1.764993,1.379465,1.490062,3.987627,0.105826,0.215895,11977,7317,31
2,100,17320,20000,4.333688,2.231835,1.543600,1.646218,4.368800,0.105362,0.221490,13810,7528,39
3,100,17430,20000,4.022645,1.921349,1.517243,1.619968,4.153228,0.071490,0.195982,13699,7834,46
4,100,17481,20000,4.185643,1.992069,2.731624,1.596493,4.181295,0.097840,0.207105,12846,8157,29
5,100,16498,20000,3.968552,1.835093,1.467925,1.520998,3.986175,0.080227,0.197145,12001,8334,36
6,100,16403,20000,3.985206,1.844442,1.378507,1.497540,3.990230,0.089124,0.200061,11649,7493,35
7,100,17219,20000,3.937996,1.848461,1.468149,1.579548,3.962293,0.109801,0.210227,12995,8101,27
8,100,16400,20000,3.940973,1.796183,1.400080,1.450392,3.971719,0.110564,0.212507,11420,6811,29
9,100,16675,20000,3.982195,1.864380,1.442452,1.544400,4.033653,0.073523,0.202600,11723,7015,40
10,100,17175,20000,3.842444,1.758360,1.473940,1.518737,3.891200,0.097669,0.183937,11782,6196,50
11,100,17921,20000,3.883877,1.758647,1.375915,1.489688,3.920188,0.101725,0.200413,13455,7128,35
12,100,16987,20000,3.928604,1.756123,1.410432,1.451707,3.960142,0.116285,0.194538,11819,6351,40
13,100,15859,20000,4.406314,2.075617,1.432698,1.921397,4.424228,0.100886,0.238664,10263,6576,27
14,100,16527,20000,4.274352,1.883453,1.320201,1.349131,4.292052,0.098087,0.181967,11213,5989,38
15,100,17001,20000,4.256430,1.808857,1.265972,1.354149,4.259387,0.106132,0.214344,12948,6975,27
16,100,16078,20000,4.182374,1.868660,1.297830,1.376920,4.193441,0.088706,0.204568,10906,7031,31
17,100,16639,20000,4.428731,1.730493,1.095745,1.314297,4.439631,0.115234,0.184583,11333,7014,42
18,100,16464,20000,3.954519,1.776338,1.372966,1.373712,3.984937,0.104745,0.168286,11682,5818,48
19,100,15786,20000,4.377002,2.020188,1.219276,1.296793,4.399751,0.090010,0.202972,10555,5939,33
