batch_idx,num_blocks,num_txs,delay_ns,seq_time_s,par_time_s,concat_time_s,integrated_time_s,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,par_re_exec,integ_re_exec,num_integrated_groups
0,100,18072,0,1.017743,0.432652,0.377900,0.406654,0.918294,0.109386,0.202340,11512,6762,20
1,100,17248,0,0.887837,0.415698,0.358503,0.361797,0.927197,0.092602,0.195111,10393,6867,22
2,100,17320,0,1.125043,0.640651,0.510026,0.499308,1.141610,0.117987,0.208062,12496,8220,17
3,100,17430,0,0.904986,0.453336,0.391182,0.368994,0.910225,0.108440,0.197571,11833,7846,18
4,100,17481,0,1.032019,0.539799,1.091339,0.444813,1.031212,0.113301,0.194377,11293,8085,20
5,100,16498,0,0.908025,0.475068,0.390187,0.373770,0.932176,0.088717,0.190678,10715,8068,18
6,100,16403,0,0.930956,0.468630,0.372014,0.373836,0.943687,0.123442,0.185646,10489,7111,20
7,100,17219,0,0.915417,0.453998,0.376996,0.382847,0.921028,0.095209,0.182309,11584,7687,21
8,100,16400,0,0.939722,0.480270,0.359489,0.367120,0.953776,0.091151,0.165001,10411,6539,25
9,100,16675,0,0.982551,0.496831,0.394405,0.393076,1.004145,0.098301,0.177272,10632,7235,19
10,100,17175,0,0.905149,0.446381,0.381498,0.369805,0.927012,0.095197,0.175740,10549,7126,20
11,100,17921,0,0.919170,0.447734,0.367211,0.362492,0.931310,0.107088,0.190273,11843,7043,19
12,100,16987,0,0.927429,0.458983,0.380810,0.379036,0.946244,0.091838,0.184954,10077,7078,23
13,100,15859,0,1.015118,0.502508,0.365216,0.423988,1.036811,0.121469,0.206536,8989,6520,18
14,100,16527,0,1.369038,0.745219,0.487069,0.402313,1.383780,0.086211,0.169433,9059,6561,24
15,100,17001,0,1.306507,0.703451,0.460322,0.371929,1.324464,0.090686,0.176143,11303,7049,21
16,100,16078,0,1.331841,0.740615,0.518310,0.326156,1.345316,0.092408,0.178268,9050,6658,18
17,100,16639,0,1.351764,0.687692,0.483558,0.396524,1.371910,0.098737,0.175692,8459,6881,28
18,100,16464,0,1.091970,0.550087,0.417190,0.369686,1.106822,0.082987,0.159435,9913,6131,32
19,100,15786,0,1.434252,0.763801,0.496007,0.389281,1.438663,0.110360,0.186998,8523,6140,18
