batch_idx,num_blocks,num_txs,delay_ns,seq_time_s,par_time_s,concat_time_s,integrated_time_s,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,par_re_exec,integ_re_exec,num_integrated_groups
0,100,18072,50000,8.879632,3.698588,2.826442,5.463923,8.767390,0.132099,0.202632,10527,7038,20
1,100,17248,50000,8.530721,3.501604,2.712449,2.934426,8.510208,0.116245,0.196821,9641,7238,22
2,100,17320,50000,9.067230,4.090576,3.204147,3.424011,9.088675,0.102920,0.197506,11482,8480,17
3,100,17430,50000,8.637995,3.787557,3.124427,3.127360,8.653042,0.103234,0.192368,11284,7852,18
4,100,17481,50000,8.736505,3.654423,5.160381,3.038088,8.751916,0.096785,0.184722,10398,8047,20
5,100,16498,50000,8.392285,3.523232,2.883140,2.982652,8.412691,0.096940,0.188936,9868,8252,18
6,100,16403,50000,8.428837,3.564650,2.754776,2.990376,8.458332,0.079991,0.175885,9625,7706,20
7,100,17219,50000,8.415459,3.588520,2.929646,3.252532,8.429114,0.094835,0.178031,11135,8514,21
8,100,16400,50000,8.266451,3.413934,2.714409,2.959477,8.281214,0.087772,0.165934,9646,7264,25
9,100,16675,50000,8.386392,3.506326,2.845124,3.018191,8.406696,0.090585,0.173856,10037,6848,19
10,100,17175,50000,8.165136,3.407172,2.862765,3.018952,8.180041,0.093748,0.176975,9982,7259,20
11,100,17921,50000,8.252062,3.441845,2.746334,2.960795,8.280041,0.093765,0.183858,10015,7278,19
12,100,16987,50000,8.310513,3.371888,2.783972,2.961905,8.320926,0.088648,0.191076,9485,6934,23
13,100,15859,50000,9.357952,4.114480,3.093070,3.877097,9.367555,0.102168,0.199812,8028,6343,18
14,100,16527,50000,8.516911,3.202752,2.572809,2.761313,8.535647,0.092751,0.169144,8574,7164,24
15,100,17001,50000,8.488535,3.234045,2.455859,2.665685,8.498772,0.093139,0.178299,9368,7143,21
16,100,16078,50000,8.336264,3.220035,2.657706,2.758672,8.356173,0.083593,0.179316,8009,6908,18
17,100,16639,50000,8.923913,3.039311,2.262642,2.659641,8.950861,0.097668,0.178191,7666,6097,28
18,100,16464,50000,8.161993,3.311241,2.680037,2.793990,8.177034,0.092362,0.158405,9122,5992,32
19,100,15786,50000,8.660673,3.538720,2.443223,2.768430,8.677717,0.092013,0.185059,7537,6648,18
