batch_idx,num_blocks,num_txs,delay_ns,seq_time_s,par_time_s,concat_time_s,integrated_time_s,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,par_re_exec,integ_re_exec,num_integrated_groups
0,100,18072,50000,8.903524,3.836662,3.019151,5.483164,8.823161,0.139792,0.178964,13474,6659,63
1,100,17248,50000,8.577253,3.654454,2.850297,3.261816,8.576281,0.104390,0.149469,12564,5242,74
2,100,17320,50000,9.144422,4.362225,3.152946,3.822542,9.165257,0.151857,0.146179,14333,5520,80
3,100,17430,50000,8.734989,4.021103,3.111852,3.676713,8.775919,0.073838,0.134403,14517,5059,84
4,100,17481,50000,8.861682,3.974341,5.071249,3.406489,8.878544,0.055906,0.151536,13567,5679,72
5,100,16498,50000,8.470374,3.770007,3.013020,3.353223,8.475381,0.118135,0.157777,12767,7186,70
6,100,16403,50000,8.486991,3.793755,2.854162,3.250128,8.486376,0.110939,0.146677,11868,5607,70
7,100,17219,50000,8.514418,3.833833,3.150268,3.398103,8.472857,0.180728,0.139899,13261,5540,78
8,100,16400,50000,8.390072,3.638806,2.865265,3.218685,8.415267,0.046903,0.148505,11913,5375,65
9,100,16675,50000,8.490207,3.924607,3.105439,3.296994,8.465826,0.091721,0.146631,11895,5390,74
10,100,17175,50000,8.251948,3.730894,3.104393,3.322290,8.265323,0.072187,0.125464,12002,4589,88
11,100,17921,50000,8.332410,3.746406,2.949618,3.234788,8.349072,0.077742,0.143969,14628,4770,79
12,100,16987,50000,8.362492,3.761346,2.942869,3.167677,8.396590,0.061238,0.144665,12191,4716,73
13,100,15859,50000,9.437561,4.387475,3.049993,4.076300,9.420619,0.128645,0.161466,10730,5245,69
14,100,16527,50000,8.607889,3.591987,2.740442,3.095549,8.625418,0.070448,0.138090,11756,5037,71
15,100,17001,50000,8.575703,3.591211,2.597423,2.874907,8.568282,0.069192,0.145646,13910,4738,70
16,100,16078,50000,8.403415,3.566190,2.696293,3.145400,8.426317,0.125175,0.145231,11638,5429,77
17,100,16639,50000,9.021551,3.170613,2.254928,2.840419,9.027965,0.146350,0.156899,12239,5042,72
18,100,16464,50000,8.238280,3.525123,2.840869,3.073667,8.252098,0.078571,0.146065,12435,5085,69
19,100,15786,50000,8.777429,3.890094,2.716045,3.075574,8.776499,0.067853,0.158018,10939,4568,72
