batch_idx,num_blocks,num_txs,delay_ns,seq_time_s,par_time_s,concat_time_s,integrated_time_s,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,par_re_exec,integ_re_exec,num_integrated_groups
0,100,18072,1000,1.175167,0.497719,0.438671,0.494167,1.088381,0.108210,0.201922,11300,6863,20
1,100,17248,1000,1.049008,0.482139,0.412465,0.422419,1.071472,0.090447,0.191966,10361,7032,22
2,100,17320,1000,1.330761,0.707711,0.554255,0.558928,1.323014,0.092257,0.208801,12323,8253,17
3,100,17430,1000,1.091918,0.525810,0.452751,0.433205,1.092317,0.105873,0.205301,12292,7529,18
4,100,17481,1000,1.198853,0.606515,1.178508,0.494507,1.197957,0.102743,0.195560,11261,8034,20
5,100,16498,1000,1.082917,0.528922,0.441826,0.433460,1.090485,0.099235,0.199003,10522,7976,18
6,100,16403,1000,1.112207,0.532908,0.417525,0.426815,1.113943,0.102859,0.186119,10323,7090,20
7,100,17219,1000,1.058956,0.523474,0.436030,0.452483,1.080219,0.109366,0.177515,11679,7559,21
8,100,16400,1000,1.146729,0.540804,0.420039,0.426288,1.135053,0.080374,0.176958,10210,6422,25
9,100,16675,1000,1.159269,0.564893,0.455697,0.454785,1.161025,0.125814,0.192037,10529,6908,19
10,100,17175,1000,1.094200,0.507890,0.435673,0.431803,1.095208,0.093086,0.186682,10474,6926,20
11,100,17921,1000,1.071694,0.510493,0.416739,0.421126,1.088239,0.099715,0.185613,11574,7012,19
12,100,16987,1000,1.080050,0.507734,0.422799,0.436258,1.099091,0.097100,0.182106,10204,6788,23
13,100,15859,1000,1.203751,0.574976,0.414786,0.497927,1.220174,0.100790,0.205785,8773,6675,18
14,100,16527,1000,1.527027,0.786960,0.511770,0.445861,1.553884,0.090221,0.177709,9246,6688,24
15,100,17001,1000,1.466990,0.746912,0.477152,0.426303,1.487384,0.086740,0.176773,10902,7081,21
16,100,16078,1000,1.531652,0.782542,0.535127,0.379889,1.527529,0.098586,0.194489,8705,6417,18
17,100,16639,1000,1.550993,0.741741,0.502932,0.437426,1.547852,0.123529,0.192649,8407,6568,28
18,100,16464,1000,1.233194,0.606281,0.455198,0.417263,1.241980,0.095618,0.162302,9769,6195,32
19,100,15786,1000,1.592607,0.802434,0.517233,0.429577,1.598461,0.094324,0.195365,8439,6337,18
