batch_idx,num_blocks,num_txs,delay_ns,seq_time_s,par_time_s,concat_time_s,integrated_time_s,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,par_re_exec,integ_re_exec,num_integrated_groups
0,100,18072,5000,1.827989,0.756983,0.626330,0.819874,1.721918,0.107108,0.199870,11054,6578,20
1,100,17248,5000,1.673089,0.717568,0.593973,0.624317,1.736098,0.067807,0.194135,10111,6949,22
2,100,17320,5000,1.958227,0.965953,0.752659,0.779991,1.962081,0.111668,0.213588,12435,8307,17
3,100,17430,5000,1.704366,0.788368,0.662089,0.646685,1.728105,0.100622,0.194380,11638,7333,18
4,100,17481,5000,1.820309,0.851029,1.518490,0.701015,1.832981,0.101091,0.187138,10717,7702,20
5,100,16498,5000,1.731022,0.764046,0.639053,0.625662,1.741306,0.070615,0.201906,10201,7879,18
6,100,16403,5000,1.718317,0.777036,0.607816,0.630515,1.729140,0.094730,0.176723,9869,7103,20
7,100,17219,5000,1.710990,0.766872,0.646814,0.680211,1.702524,0.100045,0.188029,11320,7515,21
8,100,16400,5000,1.714599,0.767004,0.606386,0.629328,1.718458,0.095000,0.169470,9925,6431,25
9,100,16675,5000,1.749801,0.784265,0.650440,0.660687,1.768435,0.097208,0.175393,10243,6703,19
10,100,17175,5000,1.679830,0.738971,0.633985,0.636048,1.689051,0.095832,0.181930,10248,6757,20
11,100,17921,5000,1.712221,0.750634,0.611760,0.617751,1.764840,0.062558,0.199355,11145,6778,19
12,100,16987,5000,1.701181,0.732613,0.622978,0.644359,1.710579,0.104141,0.194270,9790,6739,23
13,100,15859,5000,1.917772,0.850709,0.624429,0.771873,1.918214,0.104302,0.219828,8584,6311,18
14,100,16527,5000,2.158884,0.936670,0.614154,0.623671,2.146859,0.088422,0.180810,8867,6380,24
15,100,17001,5000,2.057292,0.896804,0.581759,0.595503,2.074265,0.123319,0.189866,10481,6656,21
16,100,16078,5000,2.057505,0.939899,0.622701,0.574782,2.076256,0.095242,0.181605,8507,6422,18
17,100,16639,5000,2.142366,0.880054,0.571101,0.602202,2.161977,0.096033,0.176530,8062,6059,28
18,100,16464,5000,1.800617,0.804551,0.611679,0.604265,1.822132,0.094395,0.157918,9808,5825,32
19,100,15786,5000,2.174071,0.978946,0.621052,0.598730,2.189500,0.114241,0.196183,8106,5800,18
