batch_idx,num_blocks,num_txs,delay_ns,seq_time_s,par_time_s,concat_time_s,integrated_time_s,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,par_re_exec,integ_re_exec,num_integrated_groups
0,100,18072,20000,4.199375,1.971151,1.763645,2.244404,4.112723,0.110879,0.174118,13607,5949,63
1,100,17248,20000,4.013199,1.861639,1.586541,1.616672,3.999246,0.133751,0.151465,12220,4956,74
2,100,17320,20000,4.442449,2.379150,1.677940,1.897837,4.434725,0.093852,0.146360,14134,5128,80
3,100,17430,20000,4.062670,2.040009,1.659514,1.764119,4.096370,0.101564,0.135066,14032,4874,84
4,100,17481,20000,4.191596,2.121003,2.757475,1.708368,4.200179,0.099517,0.147060,13297,5548,72
5,100,16498,20000,3.997214,1.974547,1.702764,1.671657,3.996614,0.091695,0.153524,12257,6139,70
6,100,16403,20000,4.013769,1.986346,1.557610,1.613825,4.020737,0.086216,0.139253,11647,5407,70
7,100,17219,20000,3.990148,1.972764,1.625842,1.683133,3.999773,0.125381,0.139304,13208,5260,78
8,100,16400,20000,3.969275,1.933725,1.589575,1.585202,3.951867,0.127566,0.154127,11652,5089,65
9,100,16675,20000,4.009194,1.983677,1.530781,1.635791,4.066367,0.085619,0.143082,12018,4905,74
10,100,17175,20000,3.890858,1.895675,1.617121,1.617602,3.938052,0.049393,0.124672,11927,4252,88
11,100,17921,20000,3.914404,1.878957,1.569203,1.561373,3.951655,0.087809,0.144991,14165,4620,79
12,100,16987,20000,3.947074,1.888434,1.543371,1.564283,3.953749,0.086160,0.144392,11609,4508,73
13,100,15859,20000,4.426885,2.208966,1.548400,1.920193,4.420738,0.106810,0.155987,10602,4926,69
14,100,16527,20000,4.305483,1.982284,1.435509,1.539609,4.294721,0.107305,0.140438,11216,4697,71
15,100,17001,20000,4.270654,1.918839,1.378324,1.408972,4.240561,0.146399,0.149971,13745,4403,70
16,100,16078,20000,4.183861,1.951236,1.467528,1.510156,4.211558,0.084022,0.137564,11434,5030,77
17,100,16639,20000,4.461574,1.809067,1.178204,1.411628,4.496936,0.069720,0.140925,11664,4825,72
18,100,16464,20000,3.936281,1.903707,1.494551,1.490505,3.989376,0.094735,0.143363,12002,4685,69
19,100,15786,20000,4.401274,2.090836,1.361073,1.525792,4.418613,0.063825,0.153115,10384,4093,72
