batch_idx,num_blocks,num_txs,delay_ns,seq_time_s,par_time_s,concat_time_s,integrated_time_s,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,par_re_exec,integ_re_exec,num_integrated_groups
0,100,18072,2000,1.339621,0.562446,0.482874,0.571743,1.239795,0.104184,0.200042,11381,6863,20
1,100,17248,2000,1.230653,0.540308,0.456304,0.468886,1.227358,0.099408,0.194216,10141,6779,22
2,100,17320,2000,1.442717,0.775065,0.612698,0.614012,1.484549,0.089565,0.202465,12317,8348,17
3,100,17430,2000,1.218175,0.590547,0.498977,0.493577,1.235709,0.101598,0.193426,11953,7579,18
4,100,17481,2000,1.351621,0.670455,1.264350,0.538039,1.351360,0.110583,0.194820,11236,8141,20
5,100,16498,2000,1.221694,0.581647,0.486852,0.480147,1.240722,0.095225,0.189104,10311,8112,18
6,100,16403,2000,1.257383,0.600751,0.463668,0.467846,1.263894,0.096568,0.180254,10215,7076,20
7,100,17219,2000,1.219055,0.579335,0.483713,0.504841,1.231940,0.099596,0.178427,11521,7768,21
8,100,16400,2000,1.252108,0.603526,0.454174,0.475478,1.263000,0.095329,0.165813,10091,6335,25
9,100,16675,2000,1.289594,0.620894,0.495570,0.502203,1.320330,0.087568,0.180145,10585,7056,19
10,100,17175,2000,1.228643,0.564328,0.485486,0.483087,1.256558,0.086294,0.178743,10414,6745,20
11,100,17921,2000,1.224447,0.570540,0.466613,0.467793,1.246863,0.097773,0.184991,11523,6983,19
12,100,16987,2000,1.228499,0.561487,0.467831,0.486724,1.250781,0.096401,0.180282,10110,6829,23
13,100,15859,2000,1.367727,0.636149,0.456184,0.565707,1.386465,0.101636,0.202829,8844,6601,18
14,100,16527,2000,1.666812,0.807167,0.523740,0.492349,1.684841,0.090808,0.168675,8997,6214,24
15,100,17001,2000,1.612460,0.780785,0.491120,0.463751,1.627729,0.090575,0.174925,10965,6951,21
16,100,16078,2000,1.634975,0.819438,0.545295,0.423327,1.648408,0.090910,0.182002,8895,6598,18
17,100,16639,2000,1.676640,0.767838,0.514963,0.477241,1.695075,0.098792,0.176798,8321,6371,28
18,100,16464,2000,1.368244,0.651867,0.485544,0.462039,1.388036,0.092913,0.158722,9654,5878,32
19,100,15786,2000,1.726816,0.843385,0.545124,0.469026,1.743853,0.094260,0.185836,8456,5953,18
