batch_idx,num_blocks,num_txs,delay_ns,seq_time_s,par_time_s,concat_time_s,integrated_time_s,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,par_re_exec,integ_re_exec,num_integrated_groups
0,100,18072,20000,4.187856,1.742868,1.371416,2.045242,4.084502,0.108291,0.199880,10781,7008,20
1,100,17248,20000,3.995261,1.632192,1.309748,1.404348,3.996631,0.083695,0.192898,9642,7130,22
2,100,17320,20000,4.341781,2.003100,1.531308,1.641423,4.350779,0.105338,0.205614,11803,8342,17
3,100,17430,20000,4.022748,1.785459,1.484433,1.476285,4.038651,0.103583,0.191499,11477,7265,18
4,100,17481,20000,4.201528,1.775571,2.744807,1.471949,4.203836,0.074683,0.201704,10606,7734,20
5,100,16498,20000,3.948029,1.668856,1.397101,1.420529,3.953529,0.107646,0.203784,10162,7976,18
6,100,16403,20000,4.028674,1.714098,1.320296,1.423598,3.992486,0.090858,0.189089,9679,7233,20
7,100,17219,20000,3.960635,1.695065,1.412902,1.548173,3.965395,0.094847,0.190258,11130,7909,21
8,100,16400,20000,3.930245,1.633354,1.318082,1.407037,3.942162,0.091925,0.165826,9698,6755,25
9,100,16675,20000,4.015858,1.664426,1.371400,1.441812,4.003164,0.084495,0.186405,9872,6471,19
10,100,17175,20000,3.860088,1.620149,1.372425,1.443006,3.895219,0.092370,0.182734,10036,6836,20
11,100,17921,20000,3.901703,1.651661,1.340195,1.409108,3.903644,0.100212,0.191190,10714,7252,19
12,100,16987,20000,3.923556,1.591569,1.331001,1.420353,3.934385,0.089703,0.189598,9742,6705,23
13,100,15859,20000,4.408939,1.914004,1.453288,1.805272,4.446382,0.089324,0.210718,8130,6071,18
14,100,16527,20000,4.294993,1.623597,1.226864,1.322747,4.309640,0.071785,0.170890,8880,6490,24
15,100,17001,20000,4.227651,1.585346,1.188645,1.270965,4.249660,0.087079,0.179990,9715,6870,21
16,100,16078,20000,4.160563,1.625711,1.281894,1.297114,4.181594,0.090260,0.177901,8299,6425,18
17,100,16639,20000,4.413310,1.537238,1.104961,1.287945,4.434083,0.103183,0.177891,7838,5985,28
18,100,16464,20000,3.932503,1.620053,1.300597,1.321031,3.952418,0.092903,0.158543,9357,5915,32
19,100,15786,20000,4.349808,1.764936,1.182988,1.322899,4.363793,0.093704,0.185538,7932,6069,18
