batch_idx,start_block,end_block,num_blocks,num_txs,seq_time_s,seq_tput,par_time_s,par_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,num_integrated_groups
47,16779345,16779444,100,14417,0.702379,20525.96,0.354230,40699.57,0.375873,38356.05,0.308154,46785.00,32
48,16779445,16779544,100,13748,0.646364,21269.75,0.313019,43920.70,0.346699,39653.95,0.276329,49752.22,30
49,16779545,16779644,100,14524,0.664764,21848.37,0.332830,43637.85,0.359648,40383.96,0.283578,51216.94,30
50,18581726,18581825,100,14635,0.883300,16568.55,0.540706,27066.45,0.580074,25229.53,0.420158,34832.13,30
51,18581826,18581925,100,14705,0.760559,19334.45,0.405414,36271.57,0.443926,33124.92,0.344012,42745.56,30
52,18581926,18582025,100,13744,0.781960,17576.35,0.452823,30351.80,0.476561,28839.96,0.334311,41111.46,30
53,18582026,18582125,100,13339,0.910828,14644.91,0.610730,21841.07,0.640673,20820.30,0.480097,27783.94,33
54,18582126,18582225,100,13302,0.818380,16254.05,0.472511,28151.74,0.507095,26231.76,0.313742,42397.86,30
55,18582226,18582325,100,15419,0.839133,18374.91,0.535780,28778.58,0.542435,28425.53,0.366501,42070.78,30
56,18582326,18582425,100,15541,0.819792,18957.26,0.494438,31431.67,0.532610,29178.93,0.424168,36638.81,31
57,18582426,18582525,100,14202,0.690916,20555.31,0.370374,38345.04,0.404544,35106.21,0.301648,47081.31,26
58,18582526,18582625,100,13584,0.745814,18213.67,0.375757,36151.01,0.403279,33683.86,0.321634,42234.34,33
59,18582626,18582725,100,14206,0.781393,18180.35,0.403183,35234.62,0.427952,33195.32,0.321983,44120.33,35
60,18582726,18582825,100,14594,0.928070,15725.11,0.556304,26233.85,0.569519,25625.15,0.395616,36889.27,30
61,18582826,18582925,100,14306,1.435682,9964.60,1.057183,13532.19,1.093813,13079.01,0.643865,22218.96,36
62,18582926,18583025,100,14637,0.900286,16258.17,0.502608,29122.08,0.525385,27859.55,0.444566,32924.23,35
63,18583026,18583125,100,19445,0.967132,20105.83,0.559625,34746.50,0.589363,32993.26,0.441788,44014.32,27
64,18583126,18583225,100,22352,0.852714,26212.77,0.485374,46051.05,0.526424,42460.04,0.315676,70806.67,28
65,18583226,18583325,100,15072,1.114050,13529.01,0.728422,20691.30,0.761716,19786.91,0.562825,26779.19,29
66,18583326,18583425,100,15082,0.909700,16579.09,0.499097,30218.60,0.529693,28473.09,0.393350,38342.48,34
67,18583426,18583525,100,15003,0.800930,18731.97,0.391501,38321.76,0.411320,36475.22,0.323134,46429.70,30
