batch_idx,k,m,num_blocks,num_txs,seq_time_s,seq_tput,par_time_s,par_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,num_integrated_groups
0,1,10,50,5000,0.537576,9301.01,0.104342,47919.32,0.102511,48775.02,0.101850,49091.93,50
1,1,10,50,5000,0.537680,9299.21,0.106040,47151.94,0.102360,48847.43,0.101858,49088.11,50
2,1,10,50,5000,0.561896,8898.44,0.103525,48297.61,0.103008,48539.71,0.104129,48017.46,50
3,1,10,50,5000,0.534178,9360.18,0.103571,48276.13,0.100567,49717.87,0.100841,49583.15,50
4,1,10,50,5000,0.534881,9347.88,0.102343,48855.20,0.101149,49431.83,0.100845,49581.27,50
5,1,10,50,5000,0.538430,9286.26,0.104481,47855.59,0.101657,49185.11,0.102038,49001.40,50
6,1,10,50,5000,0.534690,9351.22,0.102572,48746.41,0.099671,50165.29,0.101075,49468.36,50
7,1,10,50,5000,0.535361,9339.49,0.104788,47715.23,0.101006,49501.83,0.101418,49300.80,50
8,1,10,50,5000,0.532284,9393.48,0.102952,48566.19,0.100080,49960.16,0.100413,49794.54,50
9,1,10,50,5000,0.535185,9342.56,0.103824,48158.28,0.100543,49730.19,0.100836,49585.39,50
10,1,10,50,5000,0.534314,9357.79,0.105075,47584.89,0.101290,49363.00,0.102147,48949.08,50
11,1,10,50,5000,0.542617,9214.61,0.104409,47888.65,0.102878,48601.35,0.100520,49741.37,50
12,1,10,50,5000,0.537283,9306.08,0.103323,48391.94,0.101008,49501.04,0.099868,50065.97,50
13,1,10,50,5000,0.531470,9407.87,0.102710,48680.65,0.099871,50064.72,0.100336,49832.52,50
14,1,10,50,5000,0.536602,9317.89,0.104696,47757.21,0.099563,50219.38,0.100310,49845.59,50
15,1,10,50,5000,0.532635,9387.29,0.105522,47383.48,0.100906,49550.88,0.102042,48999.47,50
16,1,10,50,5000,0.531264,9411.52,0.102081,48980.55,0.101067,49472.01,0.100642,49680.87,50
17,1,10,50,5000,0.531209,9412.49,0.103137,48479.02,0.101363,49327.72,0.100758,49623.68,50
18,1,10,50,5000,0.533727,9368.08,0.104953,47640.22,0.102148,48948.74,0.100741,49632.06,50
19,1,10,50,5000,0.534176,9360.20,0.103453,48330.93,0.100565,49718.88,0.099634,50183.91,50
20,1,10,50,5000,0.540535,9250.09,0.103430,48341.87,0.101398,49310.70,0.099806,50097.18,50
21,1,10,50,5000,0.536191,9325.04,0.103900,48123.12,0.100942,49533.22,0.100572,49715.72,50
22,1,10,50,5000,0.533105,9379.02,0.106001,47169.22,0.100551,49726.09,0.099356,50324.32,50
23,1,10,50,5000,0.533002,9380.84,0.104539,47828.93,0.101566,49229.15,0.099579,50211.43,50
24,1,10,50,5000,0.536725,9315.76,0.102862,48609.02,0.099822,50089.39,0.100977,49516.12,50
25,1,10,50,5000,0.535824,9331.43,0.104235,47968.75,0.101006,49502.04,0.099481,50260.73,50
26,1,10,50,5000,0.536223,9324.47,0.103749,48193.09,0.098691,50663.34,0.099578,50211.93,50
27,1,10,50,5000,0.536438,9320.74,0.101870,49081.95,0.100797,49604.57,0.101236,49389.47,50
28,1,10,50,5000,0.533008,9380.72,0.101380,49319.53,0.099970,50015.00,0.099316,50344.33,50
29,1,10,50,5000,0.558271,8956.23,0.103488,48314.96,0.100225,49887.87,0.099351,50326.38,50
30,1,10,50,5000,0.532080,9397.08,0.101507,49257.64,0.100209,49895.71,0.098343,50842.55,50
31,1,10,50,5000,0.536386,9321.65,0.103886,48129.83,0.101766,49132.46,0.100706,49649.63,50
32,1,10,50,5000,0.530858,9418.71,0.105199,47529.19,0.101914,49060.85,0.101099,49456.24,50
33,1,10,50,5000,0.536400,9321.41,0.103244,48429.14,0.100721,49642.32,0.099411,50296.27,50
34,1,10,50,5000,0.529740,9438.59,0.103202,48448.60,0.100441,49780.69,0.099853,50073.53,50
35,1,10,50,5000,0.534459,9355.26,0.103204,48447.52,0.100973,49518.06,0.100725,49640.17,50
36,1,10,50,5000,0.536680,9316.55,0.103647,48240.49,0.101369,49324.57,0.101816,49108.40,50
37,1,10,50,5000,0.560092,8927.11,0.102646,48710.91,0.100413,49794.19,0.099737,50131.62,50
38,1,10,50,5000,0.532334,9392.61,0.104435,47876.56,0.099538,50232.31,0.100258,49871.11,50
39,1,10,50,5000,0.536397,9321.45,0.104475,47858.56,0.100343,49829.32,0.100012,49993.88,50
40,1,10,50,5000,0.551792,9061.38,0.103547,48287.30,0.101240,49387.61,0.102096,48973.29,50
41,1,10,50,5000,0.533694,9368.66,0.102991,48547.80,0.099476,50263.24,0.101150,49431.78,50
42,1,10,50,5000,0.534216,9359.51,0.103034,48527.44,0.099871,50064.45,0.100259,49870.80,50
43,1,10,50,5000,0.537903,9295.35,0.102737,48668.14,0.100565,49719.27,0.100860,49573.44,50
44,1,10,50,5000,0.540436,9251.79,0.102261,48894.48,0.100143,49928.75,0.100147,49926.55,50
45,1,10,50,5000,0.530775,9420.18,0.102554,48754.91,0.101568,49228.04,0.099921,50039.36,50
46,1,10,50,5000,0.533073,9379.58,0.102782,48646.56,0.100181,49909.81,0.099632,50184.75,50
47,1,10,50,5000,0.539688,9264.62,0.103990,48081.57,0.101035,49487.65,0.100064,49968.12,50
48,1,10,50,5000,0.535808,9331.70,0.103035,48527.41,0.098844,50584.86,0.098562,50729.35,50
49,1,10,50,5000,0.536293,9323.26,0.103419,48347.23,0.100851,49577.89,0.098539,50741.42,50
50,1,10,50,5000,0.536794,9314.56,0.105360,47456.20,0.100345,49827.99,0.100772,49616.81,50
51,1,10,50,5000,0.556437,8985.75,0.101778,49126.66,0.100080,49959.97,0.101813,49109.63,50
52,1,10,50,5000,0.532920,9382.26,0.103217,48441.70,0.101933,49051.83,0.100037,49981.56,50
53,1,10,50,5000,0.561569,8903.62,0.102076,48982.94,0.098817,50598.35,0.098830,50592.05,50
54,1,10,50,5000,0.530535,9424.46,0.103511,48303.96,0.100152,49924.04,0.101215,49399.73,50
55,1,10,50,5000,0.537005,9310.90,0.100928,49540.50,0.099409,50297.41,0.100686,49659.26,50
56,1,10,50,5000,0.533642,9369.59,0.103612,48256.76,0.099873,50063.55,0.098917,50547.52,50
57,1,10,50,5000,0.531695,9403.88,0.103818,48161.10,0.101637,49194.86,0.098937,50537.45,50
58,1,10,50,5000,0.531868,9400.83,0.101645,49190.64,0.099932,50034.22,0.099502,50250.40,50
59,1,10,50,5000,0.536722,9315.81,0.102794,48640.85,0.100800,49603.07,0.100247,49876.85,50
60,1,10,50,5000,0.536463,9320.30,0.104023,48066.47,0.100807,49599.65,0.100799,49603.62,50
