batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta,cgraph_cross_block_aborts,cgraph_cross_block_cascade,graph_cross_block_aborts,graph_cross_block_cascade,integ_cross_block_aborts,integ_cross_block_cascade,par_fallbacks,concat_fallbacks,cgraph_fallbacks,graph_fallbacks,integ_fallbacks
0,50,5000,8,10,0.508164,9839.34,0.138075,36212.19,0.106332,47022.66,0.085561,58437.79,0.140285,35641.67,0.140423,35606.83,0.227617,21966.70,0.518002,0.037829,0.036663,0.140423,0.732917,0.047644,50,381685,424430,1812000,2259,836,640,0,3524,898,799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15801070240818022736,15801070240818022736,15801070240818022736,5621450107361061396,5621450107361061396,5621450107361061396,0,0,0,0,0,0,0,0,0,0,0
1,50,5000,8,10,0.510188,9800.31,0.138741,36038.26,0.104697,47756.81,0.086263,57962.49,0.142713,35035.40,0.141387,35363.82,0.224783,22243.65,0.515273,0.032050,0.027244,0.141387,0.715954,0.047675,50,381749,424479,1812000,2239,834,627,0,3334,889,764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10302193490517619372,10302193490517619372,10302193490517619372,9487480283769749857,9487480283769749857,9487480283769749857,0,0,0,0,0,0,0,0,0,0,0
2,50,5000,8,10,0.513569,9735.80,0.136544,36618.21,0.103418,48347.48,0.085230,58664.91,0.140752,35523.51,0.141805,35259.72,0.224567,22265.05,0.525315,0.028187,0.026470,0.141805,0.721777,0.047376,50,381928,424653,1812000,2250,835,642,0,3427,900,796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11821570797381832806,11821570797381832806,11821570797381832806,10615216219119741389,10615216219119741389,10615216219119741389,0,0,0,0,0,0,0,0,0,0,0
3,50,5000,8,10,0.513338,9740.16,0.137227,36435.92,0.104667,47770.69,0.085028,58804.44,0.140001,35714.06,0.138912,35993.99,0.226508,22074.30,0.530731,0.027600,0.030654,0.138912,0.727897,0.047885,50,381949,424684,1812000,2234,840,639,0,3488,900,777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1951109482867991214,1951109482867991214,1951109482867991214,10584203873308508807,10584203873308508807,10584203873308508807,0,0,0,0,0,0,0,0,0,0,0
4,50,5000,8,10,0.506887,9864.14,0.138164,36188.87,0.104124,48019.59,0.085095,58757.60,0.139610,35814.01,0.140446,35600.99,0.224346,22287.05,0.516716,0.029858,0.025145,0.140446,0.712164,0.047992,50,381860,424590,1812000,2245,829,626,0,3627,931,826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10881367684412252165,10881367684412252165,10881367684412252165,2563058926550161504,2563058926550161504,2563058926550161504,0,0,0,0,0,0,0,0,0,0,0
5,50,5000,8,10,0.507579,9850.69,0.138006,36230.33,0.104172,47997.34,0.084913,58883.96,0.140704,35535.62,0.140943,35475.28,0.224500,22271.74,0.518001,0.028786,0.024955,0.140943,0.712686,0.047283,50,381717,424452,1812000,2222,836,654,0,3505,898,784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7216017130805261750,7216017130805261750,7216017130805261750,7875133436438125199,7875133436438125199,7875133436438125199,0,0,0,0,0,0,0,0,0,0,0
6,50,5000,8,10,0.507508,9852.06,0.140379,35617.77,0.102987,48549.75,0.085358,58577.02,0.140572,35569.00,0.139823,35759.61,0.224475,22274.17,0.518945,0.027652,0.025076,0.139823,0.711496,0.047890,50,381855,424550,1812000,2185,828,631,0,3478,909,791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245361069134288246,245361069134288246,245361069134288246,10377287173968591687,10377287173968591687,10377287173968591687,0,0,0,0,0,0,0,0,0,0,0
7,50,5000,8,10,0.506948,9862.95,0.137520,36358.45,0.102273,48888.90,0.085860,58234.65,0.140698,35537.13,0.140729,35529.37,0.225190,22203.48,0.519706,0.035832,0.030728,0.140729,0.726995,0.047771,50,381792,424527,1812000,2219,825,651,0,3348,890,785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6945986511115556468,6945986511115556468,6945986511115556468,4631528304524557269,4631528304524557269,4631528304524557269,0,0,0,0,0,0,0,0,0,0,0
8,50,5000,8,10,0.511818,9769.10,0.138749,36036.18,0.101672,49177.62,0.085385,58558.13,0.140458,35597.75,0.142128,35179.46,0.228657,21866.81,0.518289,0.029314,0.025572,0.142128,0.715304,0.047760,50,381920,424605,1812000,2237,838,634,0,3486,929,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11612244471670054192,11612244471670054192,11612244471670054192,13771411256167147873,13771411256167147873,13771411256167147873,0,0,0,0,0,0,0,0,0,0,0
9,50,5000,8,10,0.508491,9833.02,0.139612,35813.65,0.103855,48144.24,0.085879,58221.64,0.140135,35679.82,0.139224,35913.41,0.225221,22200.42,0.516866,0.030163,0.024759,0.139224,0.711011,0.047875,50,381869,424604,1812000,2213,823,628,0,3568,910,805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12621813047610396762,12621813047610396762,12621813047610396762,6232216084883260436,6232216084883260436,6232216084883260436,0,0,0,0,0,0,0,0,0,0,0
