batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta,cgraph_cross_block_aborts,cgraph_cross_block_cascade,graph_cross_block_aborts,graph_cross_block_cascade,integ_cross_block_aborts,integ_cross_block_cascade,par_fallbacks,concat_fallbacks,cgraph_fallbacks,graph_fallbacks,integ_fallbacks
37,100,18715,8,10,1.268060,14758.77,0.628017,29800.14,0.413643,45244.38,0.462436,40470.45,0.679448,27544.42,0.412186,45404.27,0.938684,19937.48,1.262836,0.127795,0.302844,0.412186,2.105660,0.270224,20,2026310,2179705,9069068,9413,3145,2309,42,13698,3403,3088,45,9661,5446,4139,0,4969,2297,1509,0,5448,2761,1785,0,99,0,0,0,13413045717798569887,10141190912690489990,10141190912690489990,17918130432623216359,1861015300958246788,376776411601834809,1458,1217,0,0,1731,1103,0,0,0,0,0
38,100,18981,8,10,0.963047,19709.31,0.469678,40412.79,0.397482,47753.12,0.464321,40879.05,0.537727,35298.58,0.442670,42878.42,0.728404,26058.35,0.984502,0.135912,0.295767,0.442670,1.858851,0.290115,23,2136983,2384488,9506916,10841,3610,2714,46,17089,3881,3548,51,9696,5362,4056,0,4733,2222,1431,0,5228,2587,1664,1,129,0,0,0,1955750670121294151,14692830145776478519,14692830145776478519,15172991697564224861,10780276149474336701,12685816751394977601,1482,1267,0,0,1557,1014,0,0,0,0,1
39,100,18878,8,10,0.943759,20002.99,0.473046,39907.31,0.370697,50925.68,0.435770,43320.99,0.539007,35023.67,0.405221,46586.93,0.704321,26803.13,0.957016,0.135544,0.295261,0.405221,1.793042,0.289209,20,2073170,2301365,9170486,10364,3418,2591,45,16429,3621,3354,57,9363,5134,3905,1,4920,2247,1489,0,5769,2870,1965,0,93,0,0,0,6982960691767699455,10255646467888116798,10255646467888116798,16512917901515632565,3522178546913826510,10488019425841109128,1248,1048,0,0,1801,1238,0,0,0,0,0
40,100,18248,8,10,1.010517,18058.09,0.533577,34199.39,0.396208,46056.65,0.445464,40964.04,0.602381,30293.10,0.410348,44469.56,0.782241,23327.86,1.031566,0.134069,0.303759,0.410348,1.879742,0.263294,19,2031997,2170617,9452741,9471,3118,2290,45,14838,3397,3195,49,8921,4929,3668,0,4464,2098,1377,0,5139,2676,1703,1,144,0,0,0,614705772517174054,16700939971016235955,16700939971016235955,1717110375148933287,16520471061905465733,996587023747760955,1393,1147,0,0,1699,1074,0,0,0,0,0
41,100,19459,8,10,1.149377,16930.04,0.597981,32541.14,0.418613,46484.44,0.419192,46420.23,0.646797,30085.19,0.380744,51107.78,0.922658,21090.16,1.157806,0.131428,0.299023,0.380744,1.969001,0.272978,19,1966208,2272038,9154689,10043,3410,2436,26,13727,3544,3175,29,10399,5807,4321,0,5464,2507,1578,0,6964,3644,2360,1,88,0,0,0,13869459574510671106,15405741551586738988,15405741551586738988,2078593161433033893,3273588601963539363,5718096262634697383,1996,1651,0,0,2632,1757,0,0,0,0,0
42,100,19378,8,10,1.201197,16132.25,0.667178,29044.71,0.478348,40510.26,0.502467,38565.75,0.700870,27648.49,0.428553,45217.27,0.994790,19479.50,1.223035,0.136819,0.289048,0.428553,2.077455,0.284864,20,2113184,2430194,10432239,12709,3980,3111,47,17049,4016,3738,54,9962,5332,4059,0,5813,2573,1795,0,6463,3130,2151,2,155,0,0,0,11438448944504107809,8973960191998258986,8973960191998258986,13997768952345317764,5822844470202760384,4144550300327212742,1333,1156,0,0,1927,1298,0,0,0,0,0
43,100,17492,8,10,1.358968,12871.53,0.737356,23722.61,0.449834,38885.43,0.539921,32397.31,0.763014,22924.86,0.428868,40786.44,1.054727,16584.38,1.372110,0.123100,0.267158,0.428868,2.191236,0.251981,20,1934809,2082319,11920815,8241,2721,1964,23,11520,3077,2797,28,9270,5293,4154,0,4216,1976,1194,0,5181,2612,1680,1,113,0,0,0,11753155796755716069,4544618383875436238,4544618383875436238,15351514571072663794,1305739162246504594,17958117298408622794,1759,1559,0,0,1655,1070,0,0,0,0,0
44,100,18026,8,10,0.879275,20500.98,0.434523,41484.56,0.378019,47685.45,0.432055,41721.50,0.497799,36211.43,0.371480,48524.84,0.680988,26470.35,0.901189,0.130655,0.279737,0.371480,1.683061,0.249378,19,2038164,2213229,11641343,11707,3517,2682,80,18468,3747,3537,94,8444,4618,3438,0,4753,2145,1366,0,5208,2762,1773,1,250,0,0,0,10633883740664560922,7738491428853977536,7738491428853977536,13401211165441551502,4290270528905859399,3897196681637913040,1417,1189,0,0,1714,1114,0,0,0,0,0
45,100,17950,8,10,1.223399,14672.24,0.677108,26509.81,0.524414,34228.68,0.494919,36268.59,0.732839,24493.77,0.408714,43918.21,0.995095,18038.47,1.237291,0.130317,0.273635,0.408714,2.049957,0.245515,19,1974837,2129247,11077739,10593,3297,2512,38,14608,3441,3162,53,9549,5367,4044,0,4878,2218,1507,1,5020,2529,1513,1,123,0,0,0,16971037725521418697,3726401808802356641,3726401808802356641,17105431075088247564,14663922488396115724,16611948955321910908,1674,1375,0,0,1583,961,0,0,0,0,0
46,100,17843,8,10,1.088552,16391.50,0.603022,29589.31,0.451176,39547.78,0.484010,36864.91,0.669049,26669.21,0.425224,41961.46,0.895723,19920.22,1.106564,0.128991,0.272943,0.425224,1.933721,0.248953,20,2003405,2234925,8848969,11004,3205,2493,45,17303,3682,3484,42,8556,4722,3329,0,5347,2324,1644,0,5415,2649,1594,1,207,0,0,0,6887743049080644369,10332826807215596708,10332826807215596708,6265219974532425150,2450983742904950452,13867093834891476220,1425,1063,0,0,1651,976,0,0,0,0,0
47,100,19045,8,10,1.063590,17906.34,0.517940,36770.65,0.399831,47632.59,0.454971,41859.78,0.603064,31580.42,0.420964,45241.43,0.857102,22220.22,1.078761,0.135438,0.284562,0.420964,1.919724,0.295348,20,2068980,2333105,9031560,10847,3458,2568,47,16890,3662,3398,51,10233,5681,4303,0,5524,2460,1594,0,6342,3132,2138,0,231,0,0,0,13495802813100881417,1207754933879570671,1207754933879570671,17216526170832268019,15772244401991216075,12530500474925502655,1536,1309,0,0,2022,1385,0,0,0,0,0
48,100,18826,8,10,1.482078,12702.43,0.821308,22921.97,0.570679,32988.75,0.677371,27792.73,0.872749,21570.92,0.421809,44631.53,1.226749,15346.25,1.501648,0.134434,0.281284,0.421809,2.339175,0.282835,22,2122918,2314133,8970525,11115,3392,2595,37,13480,3668,3282,34,11168,6297,4950,0,5340,2415,1598,0,5323,2673,1648,0,113,0,0,0,4257145332929619099,10404772922819966028,10404772922819966028,2456694049249342583,6811648709750327017,10686278860208639282,1826,1611,0,0,1726,1097,0,0,0,0,0
49,100,18376,8,10,1.245754,14750.90,0.651959,28185.82,0.463136,39677.30,0.480232,38264.80,0.731131,25133.65,0.460784,39879.89,0.990668,18549.11,1.261151,0.137971,0.289864,0.460784,2.149770,0.264466,21,2099087,2322282,8973069,12121,3657,2810,49,17847,3896,3707,60,10125,5633,4189,0,5752,2595,1782,0,6330,3111,2029,2,132,0,0,0,8953083579185589827,3371762906594453322,3371762906594453322,1835221937362381635,3154671309205840884,17511557571370017946,1598,1344,0,0,1900,1223,0,0,0,0,0
