batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta,cgraph_cross_block_aborts,cgraph_cross_block_cascade,graph_cross_block_aborts,graph_cross_block_cascade,integ_cross_block_aborts,integ_cross_block_cascade,par_fallbacks,concat_fallbacks,cgraph_fallbacks,graph_fallbacks,integ_fallbacks
14,100,14110,8,10,0.776843,18163.25,0.390999,36087.01,0.904893,15593.00,0.896457,15739.73,0.462812,30487.54,0.334434,42190.73,0.582412,24226.85,0.807094,0.112954,0.285190,0.334434,1.539671,0.163709,17,1869792,2012122,9045153,7387,0,0,0,0,0,0,0,0,0,0,0,4188,0,0,0,4465,0,0,0,105,0,0,0,5693410859241076737,3369918934485571140,5693410859241076737,13817315250285446360,5488911705024124410,4877035424183897894,0,0,0,0,0,0,0,1,1,0,0
15,100,13388,8,10,0.657030,20376.54,0.312086,42898.37,0.255511,52397.05,0.314447,42576.31,0.366667,36512.69,0.282739,47351.10,0.462292,28960.03,0.688163,0.118779,0.274826,0.282739,1.364506,0.148746,17,1683091,1772536,8443671,5493,0,0,0,10687,0,0,0,7061,0,0,0,3752,0,0,0,4551,0,0,0,55,0,0,0,12623392605028902801,16382584326935043948,16382584326935043948,9767861672858594256,12345308002542307709,14345301329366278973,0,0,0,0,0,0,0,0,0,0,0
16,100,14314,8,10,0.714713,20027.62,0.364755,39242.83,0.284847,50251.50,0.328056,43632.84,0.394864,36250.45,0.325246,44009.75,0.529372,27039.57,0.731980,0.119210,0.246549,0.325246,1.422985,0.170118,18,1749442,1874177,11725657,7020,0,0,0,12136,0,0,0,8106,0,0,0,4242,0,0,0,5139,0,0,0,173,0,0,0,2441452051690704883,4743912956221617228,4743912956221617228,1903491953041522788,16584055231551689779,1691612302393833971,0,0,0,0,0,0,0,0,0,0,0
17,100,14382,8,10,0.669185,21491.82,0.317538,45292.27,0.839053,17140.75,0.853839,16843.93,0.391093,36773.83,0.302478,47547.26,0.476142,30205.30,0.685807,0.124944,0.252161,0.302478,1.365390,0.168904,21,1849014,1970549,8682847,7608,0,0,0,0,0,0,0,0,0,0,0,4360,0,0,0,5029,0,0,0,97,0,0,0,14841087524433724176,11066600469467807426,14841087524433724176,3010830788711583772,1606258595459577301,2598644740625238609,0,0,0,0,0,0,0,1,1,0,0
18,100,14191,8,10,0.719954,19710.98,0.365844,38789.71,0.287155,49419.23,0.337523,42044.49,0.419091,33861.39,0.328644,43180.44,0.542320,26167.23,0.740158,0.117667,0.260516,0.328644,1.446985,0.160521,18,1822273,2140843,8115586,7625,0,0,0,13125,0,0,0,8149,0,0,0,4206,0,0,0,4715,0,0,0,88,0,0,0,14032979804786766536,7926734587855905079,7926734587855905079,11481927878235779113,1990909870397789137,9473792812407917069,0,0,0,0,0,0,0,0,0,0,0
19,100,14870,8,10,0.793199,18746.88,0.400145,37161.54,0.321636,46232.33,0.387606,38363.72,0.471280,31552.37,0.347967,42733.90,0.608817,24424.42,0.813627,0.124830,0.261058,0.347967,1.547482,0.179786,21,1939160,2057835,9397807,8547,0,0,0,14319,0,0,0,8008,0,0,0,4892,0,0,0,4808,0,0,0,174,0,0,0,1549004920965126961,13223983116289662379,13223983116289662379,15271184425258728223,3523125781850445980,9201632259386352061,0,0,0,0,0,0,0,0,0,0,0
20,100,14874,8,10,0.745479,19952.27,0.366880,40541.89,0.308913,48149.48,0.373131,39862.73,0.440748,33747.20,0.365781,40663.63,0.544634,27310.08,0.762666,0.117725,0.258188,0.365781,1.504361,0.185610,17,1814506,1908371,8934031,7937,0,0,0,13981,0,0,0,8617,0,0,0,4672,0,0,0,4819,0,0,0,212,0,0,0,10956847321886463878,1481195168558612297,1481195168558612297,6006401346800581335,17498355477491079582,2707448701374971326,0,0,0,0,0,0,0,0,0,0,1
21,100,15018,8,10,0.679077,22115.32,0.344968,43534.52,0.284320,52820.78,0.346957,43284.87,0.403939,37178.88,0.296932,50577.19,0.524363,28640.47,0.699431,0.118216,0.337031,0.296932,1.451610,0.181785,19,1776843,1893118,8676655,7963,0,0,0,13460,0,0,0,6991,0,0,0,3781,0,0,0,4566,0,0,0,145,0,0,0,3597337975565321911,3780469066314036171,3780469066314036171,16039251369121436814,9773887821913075297,11687709564385266363,0,0,0,0,0,0,0,0,0,0,0
22,100,16167,8,10,0.693021,23328.29,0.310528,52063.01,0.265278,60943.66,0.352400,45876.82,0.395163,40912.19,0.305220,52968.32,0.497919,32469.13,0.708948,0.114404,0.256068,0.305220,1.384640,0.197946,18,1760112,1886882,9302570,7557,0,0,0,12752,0,0,0,9287,0,0,0,4254,0,0,0,5095,0,0,0,111,0,0,0,7148811815515475857,12127605155754457247,12127605155754457247,6825245653446837556,10483893103470132157,6815714368695846801,0,0,0,0,0,0,0,0,0,0,0
23,100,15610,8,10,0.698151,22359.07,0.339269,46010.72,0.294854,52941.47,0.346769,45015.52,0.395404,39478.63,0.293460,53192.85,0.537041,29066.68,0.724238,0.118331,0.265471,0.293460,1.401500,0.197220,18,1872017,2358517,8414231,9872,0,0,0,15693,0,0,0,8707,0,0,0,4448,0,0,0,5414,0,0,0,166,0,0,0,1024109961722739470,9792797195007680278,9792797195007680278,9712374580528098506,13219318364962765126,9639060054187470088,0,0,0,0,0,0,0,0,0,0,0
